Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
23029;13;7;0;0;0;0;.00nan;0;0
23029;295;24;64;18;1;17;.944;3600000;0
23029;316;7;59;37;5;32;.865;3600000;0
23029;593;57;0;0;0;0;.00nan;0;0
23031;360;16;77;23;2;21;.913;3600000;0
23031;1149;12;0;0;0;0;.00nan;0;0
23031;1278;12;47;40;5;35;.875;3600000;0
23031;2687;16;0;0;0;0;.00nan;0;0
23024;419;20;0;0;0;0;.00nan;0;0
23024;707;20;79;46;5;41;.891;3600000;0
23024;1163;0;86;32;2;30;.938;3600000;0
23024;2804;0;0;0;0;0;.00nan;0;0
23038;737;23;85;44;4;40;.909;3600000;0
23038;1021;15;78;25;1;24;.960;3600000;0
23038;2375;23;0;0;0;0;.00nan;0;0
23038;2751;50;0;0;0;0;.00nan;0;0
23095;711;3;100;30;0;30;1.000;3600000;0
23095;1731;3;0;0;0;0;.00nan;0;0
23095;2174;18;53;18;2;16;.889;3544000;0
23095;2314;18;0;0;0;0;.00nan;0;0
23079;734;2;23;29;7;22;.759;3363000;0
23079;1355;2;41;2;1;1;.500;237000;0
23079;1962;58;43;31;6;25;.806;3600000;0
23079;2800;1;0;0;0;0;.00nan;0;0
23103;112;13;53;46;6;40;.870;2733000;0
23103;714;13;55;5;0;5;1.000;867000;0
23103;2269;25;90;32;1;31;.969;3600000;0
23103;2973;36;0;0;0;0;.00nan;0;0
23082;482;6;0;0;0;0;.00nan;0;0
23082;483;6;100;53;0;53;1.000;3600000;0
23082;998;8;0;0;0;0;.00nan;0;0
23082;2266;8;81;43;4;39;.907;3600000;0
23019;103;30;75;27;2;25;.926;3600000;0
23019;1406;21;71;33;4;29;.879;3600000;0
23019;1690;21;0;0;0;0;.00nan;0;0
23019;2549;30;0;0;0;0;.00nan;0;0
23020;429;28;74;29;3;26;.897;3900000;0
23020;735;5;62;21;3;18;.857;3900000;0
23020;2841;37;0;0;0;0;.00nan;0;0
23020;2886;38;0;0;0;0;.00nan;0;0
23016;0;48;0;0;0;0;.00nan;0;0
23016;710;26;41;36;6;30;.833;1258000;0
23016;1239;26;45;27;4;23;.852;2342000;0
23016;2947;29;61;31;4;27;.871;3600000;0
23015;318;22;76;34;3;31;.912;3547000;0
23015;487;27;68;29;2;27;.931;3600000;0
23015;1036;22;0;0;0;0;.00nan;0;0
23015;2557;27;0;0;0;0;.00nan;0;0
23017;727;4;82;43;4;39;.907;3632000;0
23017;1332;9;99;43;3;40;.930;3632000;0
23017;2846;41;0;0;0;0;.00nan;0;0
23017;2848;54;0;0;0;0;.00nan;0;0
23096;1163;0;0;0;0;0;.00nan;0;0
23096;2016;14;100;37;0;37;1.000;3600000;0
23096;2057;14;0;0;0;0;.00nan;0;0
23096;2804;0;39;27;5;22;.815;3600000;0
23018;318;22;0;0;0;0;.00nan;0;0
23018;734;2;0;0;0;0;.00nan;0;0
23018;1036;22;48;26;4;22;.846;3565000;0
23018;1355;2;76;32;2;30;.938;3600000;0
23039;1332;9;0;0;0;0;.00nan;0;0
23039;2174;18;0;0;0;0;.00nan;0;0
23039;2314;18;65;31;3;28;.903;3600000;0
23039;2848;54;99;42;2;40;.952;3600000;0
23037;13;7;71;22;2;20;.909;3600000;0
23037;316;7;0;0;0;0;.00nan;0;0
23037;998;8;66;28;3;25;.893;3586000;0
23037;2266;8;0;0;0;0;.00nan;0;0
23046;1021;15;0;0;0;0;.00nan;0;0
23046;2269;25;0;0;0;0;.00nan;0;0
