Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note
23029;1;220;638;1433;1281;24;ES
23029;1;371;1447;1265;;24;ES
23029;2;913;1443;2369;;24;PP
23029;3;536;10;522;157;7;PP
23029;3;541;1281;646;;24;ES
23029;3;799;2369;621;;24;ES
23031;1;693;217;1165;617;16;ES
23031;1;1029;1444;25;1228;16;ES
23031;2;182;665;2479;194;12;ES
23031;2;334;2363;1424;6;16;ES
23031;2;559;1228;656;;16;ES
23031;3;809;1043;1154;1057;12;ES
23031;3;992;697;25;1444;16;PP
23024;1;103;303;854;;0;PP
23024;1;701;272;868;178;0;ES
23024;2;641;303;343;357;0;PP
23024;2;704;272;868;188;0;ES
23024;3;233;862;1307;503;0;ES
23024;3;427;1097;1321;1022;20;ES
23024;3;1011;595;339;;20;PP
23038;1;1012;2371;1268;1360;15;ES
23038;1;1117;1300;1360;1238;15;PP
23038;2;317;1212;694;501;15;ES
23038;2;1111;1212;694;662;15;ES
23038;3;775;104;304;1408;23;ES
23095;2;104;1358;715;1081;3;ES
23095;3;1118;2554;130;102;3;ES
23079;1;356;209;1170;1179;2;ES
23079;1;747;1431;918;410;1;ES
23079;1;904;918;1431;179;1;PP
23079;1;1124;579;2282;1248;2;ES
23079;2;303;5172;2399;2952;1;ES
23079;2;333;736;1053;;2;ES
23079;2;947;179;962;287;1;ES
23079;2;1083;1859;1170;111;2;PP
23079;2;1167;209;1170;832;2;PP
23079;3;118;962;127;2952;1;PP
23079;3;443;287;127;495;1;ES
23079;3;624;220;209;1179;2;ES
23079;3;962;179;204;962;1;ES
23079;3;1173;410;962;179;1;ES
23103;1;54;816;1280;;25;ES
23103;1;288;797;407;;25;ES
23103;1;1094;1777;1280;629;25;ES
23103;2;217;816;797;407;25;PP
23103;2;745;2785;859;479;13;ES
23103;2;1016;852;291;1400;25;SH
23103;3;329;670;2964;773;3;ES
23082;2;367;1954;682;1176;6;ES
23082;2;590;1446;171;;6;ES
23082;2;816;1136;520;590;6;ES
23082;3;385;590;1136;;6;ES
23019;1;428;131;1041;;21;ES
23019;2;1090;1108;1418;;30;ES
23019;2;1105;1418;1108;723;30;ES
23019;3;431;138;81;951;30;ES
23019;3;1113;924;1942;1143;21;ES
23019;3;1150;81;138;45;30;ES
23020;1;1197;649;478;;5;PP
23020;2;189;290;379;519;28;PP
23020;2;894;223;478;481;7;ES
23020;2;1196;632;379;290;28;PP
23020;3;393;223;378;649;7;ES
23020;3;603;1395;632;;28;ES
23016;1;61;72;;;26;PP
23016;1;437;48;2065;878;26;ES
23016;1;1031;1994;2917;;26;ES
23016;2;621;353;1348;;29;ES
23016;2;774;1771;900;610;29;ES
23016;2;854;885;1436;474;19;ES
23016;2;945;2065;206;794;26;ES
23016;2;1005;810;1348;1208;29;ES
23016;2;1044;985;681;690;29;ES
23016;2;1089;165;474;1436;29;ES
23016;3;96;474;165;1436;29;ES
23016;3;681;165;1436;474;29;ES
23016;3;936;1208;851;985;29;PP
23016;3;1063;610;116;1771;29;ES
23015;1;54;877;218;1171;27;PP
23015;1;396;877;528;671;27;PP
23015;1;1124;909;586;2719;22;ES
23015;3;861;2640;216;1389;27;ES
23015;3;1003;967;1286;893;22;ES
23017;1;223;952;864;;9;PP
23017;1;973;1328;1031;412;4;PP
23017;2;522;725;750;334;4;PP
23017;3;3;750;2627;334;4;ES
23017;3;91;38;1270;2164;9;ES
23017;3;557;760;110;1287;9;ES
23017;OT1;27;760;110;;9;PP
23096;2;880;570;973;1173;14;ES
23096;2;1063;753;608;415;14;ES
23096;3;237;753;570;;14;PP
23096;3;755;562;129;667;47;ES
23096;3;1015;753;1803;608;14;ES
23018;1;91;209;1170;2262;2;PP
23018;1;204;1179;209;920;2;ES
23018;1;442;1164;1286;967;22;ES
23018;1;639;209;920;1179;2;ES
23018;2;537;1286;2719;1772;22;ES
23018;3;409;736;392;1074;2;ES
23039;1;592;838;1129;1175;18;PP
23039;1;994;864;952;811;9;ES
23039;2;1073;1129;838;640;18;ES
23039;3;145;983;811;1334;9;ES
23039;3;1033;1287;110;;9;ES
23037;1;748;157;375;1157;7;ES
23037;2;377;866;991;1357;8;ES
23037;2;903;1357;991;;8;ES
23037;3;955;292;689;1157;7;ES
23037;3;1175;2942;522;292;7;ES
23046;1;825;852;899;670;25;ES
23046;2;158;407;1280;;25;PP
23046;2;332;662;2371;584;15;ES
23046;3;151;291;1434;816;25;ES
23046;3;752;2482;694;1303;15;ES
23064;1;798;2374;752;1349;10;ES
23064;1;984;98;1151;2780;10;ES
23064;1;1135;752;799;;10;ES
23064;2;807;655;2349;2374;10;PP
23064;2;828;1265;1433;1054;24;ES
23064;3;530;275;1447;1281;24;ES
23064;3;867;2349;752;655;10;PP
23057;1;216;651;1353;719;23;ES
23057;2;457;1064;2378;2553;23;PP
23057;2;710;1378;92;;21;ES
23057;3;681;1353;699;719;23;ES
23057;3;1016;1408;1353;;23;PP
23021;1;48;384;138;723;30;ES
23021;1;123;723;1418;1108;30;ES
23021;1;281;1744;2096;;13;PP
23021;1;788;315;322;464;13;ES
23021;2;956;315;512;464;13;ES
23021;2;1030;1744;466;1132;13;ES
23021;3;24;1894;2779;82;30;ES
23026;1;1126;1394;2481;171;6;ES
23026;2;597;2498;2341;1662;5;ES
23026;2;694;649;1214;1162;5;ES
23026;2;829;1176;1034;44;6;ES
23026;2;867;658;1034;;6;ES
23026;3;1199;1176;1034;;6;ES, ENG
23028;1;134;2938;1415;2793;11;ES
23028;1;985;410;1379;918;1;ES
23028;2;99;1415;153;;11;ES
