Game Id;Date Year;Date Month;Date Day;Arena;Attendance;Team Home;Team Away;Score Home;Score Away;Score Home P1;Score Home P2;Score Home P3;Score Home OT;Score Home SO;Score Away P1;Score Away P2;Score Away P3;Score Away OT;Score Away SO;Star 1;Star 2;Star 3;Shots Home;Shots Away;PIM Home;PIM Away;Hits Home;Hits Away;GA Home;GA Away;TA Home;TA Away;FOW Home;FOW Away;SOG Home P1;SOG Home P2;SOG Home P3;SOG Home OT;SOG Away P1;SOG Away P2;SOG Away P3;SOG Away OT;PPG Home;PPO Home;PPG Away;PPO Away;Type
23029;2024;10;4;American Airlines Center;16754;7;24;1;5;0;0;1;0;0;2;1;2;0;0;1281;2369;646;18;37;12;12;28;19;3;2;5;3;36;36;6;3;9;0;8;13;16;0;1;6;1;6;Regular Season
23031;2024;10;4;Capital One Arena;18512;16;12;5;2;2;2;1;0;0;0;1;1;0;0;25;6;2363;40;23;4;6;22;21;6;4;5;6;30;33;17;10;13;0;11;4;8;0;1;3;0;2;Regular Season
23024;2024;10;4;Bell Centre;21273;0;20;5;2;2;2;1;0;0;0;0;2;0;0;272;868;178;46;32;21;8;24;15;4;5;4;3;32;27;21;15;10;0;2;11;19;0;2;4;1;5;Regular Season
23038;2024;10;4;Amalie Arena;18196;23;15;1;4;0;0;1;0;0;2;2;0;0;0;694;1212;662;25;44;4;2;25;10;5;3;4;7;28;32;3;15;7;0;17;17;10;0;0;1;1;2;Regular Season
23095;2024;10;4;United Center;22428;3;18;2;0;0;1;1;0;0;0;0;0;0;0;711;1340;102;18;30;10;4;27;25;2;5;7;4;26;30;1;8;9;0;10;10;10;0;0;2;0;5;Regular Season
23079;2024;10;4;Scotiabank Arena;19723;1;2;8;6;2;2;4;0;0;2;3;1;0;0;962;1170;179;31;31;10;6;27;13;5;13;3;7;31;31;8;9;14;0;7;17;7;0;2;3;2;5;Regular Season
23103;2024;10;4;BB&T Center;11619;25;13;6;1;3;2;1;0;0;0;1;0;0;0;816;2269;1280;51;32;11;11;34;24;8;2;5;4;24;33;28;10;13;0;10;12;10;0;1;3;0;3;Regular Season
23082;2024;10;4;Staples Center;15270;6;8;4;0;0;3;1;0;0;0;0;0;0;0;483;590;1136;43;53;16;6;34;18;3;1;3;4;42;27;17;12;14;0;15;21;17;0;0;3;0;3;Regular Season
23019;2024;10;4;T-Mobile Arena;16618;30;21;4;2;0;2;2;0;0;1;0;1;0;0;81;1942;1108;33;27;2;14;22;17;6;4;7;2;29;24;12;9;12;0;10;7;10;0;0;2;0;1;Regular Season
23020;2024;10;4;Madison Square Garden;18006;5;28;4;3;1;1;1;0;1;0;2;1;0;0;223;632;478;29;21;16;4;21;15;5;3;7;5;24;30;10;7;10;2;0;14;6;1;1;2;2;3;Regular Season
23016;2024;10;4;Bridgestone Arena;14000;26;29;4;10;3;1;0;0;0;0;6;4;0;0;474;1436;165;31;63;4;6;26;18;4;4;8;3;31;41;14;12;5;0;15;15;33;0;1;3;1;2;Regular Season
23015;2024;10;4;Bell MTS Place;12610;27;22;3;2;2;0;1;0;0;1;0;1;0;0;877;1286;2640;34;29;9;23;29;17;1;4;3;4;33;28;14;5;15;0;7;11;11;0;2;4;0;2;Regular Season
23017;2024;10;4;Little Caesars Arena;18935;4;9;3;4;1;1;1;0;0;1;0;2;1;0;760;334;110;43;43;10;6;14;19;6;2;0;3;39;32;15;10;18;0;14;18;10;1;2;3;2;5;Regular Season
23096;2024;10;5;Barclays Center;15170;14;0;5;0;0;2;3;0;0;0;0;0;0;0;2016;753;608;27;37;8;2;14;24;6;4;5;4;36;29;3;10;14;0;22;9;6;0;1;1;0;4;Regular Season
23018;2024;10;5;TD Garden;19167;2;22;4;2;3;0;1;0;0;1;1;0;0;0;209;1772;920;26;32;0;2;21;27;6;10;6;2;33;23;13;4;9;0;3;24;5;0;1;1;0;0;Regular Season
23039;2024;10;5;PPG Paints Arena;17252;9;18;3;2;1;0;2;0;0;1;1;0;0;0;811;838;2848;31;42;23;4;30;15;2;3;5;8;32;33;8;14;9;0;12;16;14;0;0;2;1;6;Regular Season
23037;2024;10;5;American Airlines Center;17751;7;8;3;2;1;0;2;0;0;0;2;0;0;0;2942;1357;292;28;22;4;8;28;16;2;5;4;9;30;27;11;10;7;0;7;11;4;0;0;4;0;2;Regular Season
23046;2024;10;5;BB&T Center;14083;25;15;3;2;1;1;1;0;0;0;1;1;0;0;670;584;2973;31;40;9;9;18;21;3;2;4;7;22;35;12;11;8;0;15;14;11;0;1;2;0;2;Regular Season
23064;2024;10;5;Honda Center;11451;24;10;2;5;0;1;1;0;0;3;1;1;0;0;752;2349;2374;27;50;16;10;26;14;6;4;1;3;23;49;9;8;10;0;19;18;13;0;0;5;2;8;Regular Season
23057;2024;10;5;Amalie Arena;16736;23;21;4;1;1;1;2;0;0;0;1;0;0;0;1353;719;651;33;30;18;10;22;20;5;6;3;5;31;30;11;13;9;0;9;12;9;0;2;5;0;4;Regular Season
23021;2024;10;5;Scotiabank Saddledome;18976;13;30;4;3;2;2;0;0;0;2;0;1;0;0;464;723;1744;31;41;0;2;31;27;7;5;4;6;27;32;13;10;8;0;15;15;11;0;1;1;0;0;Regular Season
23026;2024;10;5;Staples Center;15432;6;5;4;2;1;2;1;0;0;0;2;0;0;0;1034;2341;1176;34;34;6;8;19;25;7;8;7;3;37;30;6;13;15;0;13;10;11;0;0;4;0;3;Regular Season
23028;2024;10;5;Scotiabank Arena;19723;1;11;3;5;1;2;0;0;0;1;3;1;0;0;1415;918;2793;37;50;4;0;16;29;1;6;6;2;37;31;10;19;8;0;17;14;19;0;0;0;0;2;Regular Season
23027;2024;10;5;Ball Arena;14673;19;27;4;2;2;1;1;0;0;1;1;0;0;0;721;739;616;41;33;6;8;21;12;2;5;4;4;29;34;14;17;10;0;10;15;8;0;2;4;0;3;Regular Season
