PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
0;2024;29;0;4;11156;2;1;0;0;0;6;108;79
0;2023;29;0;3;11050;1;1;1;0;0;14;109;60
0;2022;29;0;5;16594;4;1;0;0;0;18;179;67
0;2021;45;1;4;14710;3;0;1;0;1;7;135;82
0;2020;45;1;3;11078;0;2;1;1;0;13;99;57
13;2024;7;0;3;10800;3;0;0;0;0;4;105;90
13;2023;7;0;3;6591;1;2;0;0;0;11;56;43
13;2022;7;0;4;11721;2;1;0;0;0;8;108;71
13;2021;7;0;6;17391;3;2;0;1;0;16;175;68
13;2020;7;0;4;14400;2;2;0;0;0;15;130;65
35;2021;59;1;7;21242;3;2;0;0;0;18;186;61
35;2020;38;1;4;13114;1;3;0;1;0;16;130;61
103;2024;30;0;4;14972;2;1;1;0;1;7;133;89
103;2023;30;0;4;14596;1;2;1;0;0;15;122;58
103;2022;30;0;5;16217;2;1;1;0;0;8;134;78
103;2021;30;0;5;17993;4;1;0;0;2;7;163;89
103;2020;30;0;4;14473;3;0;1;0;0;18;142;58
112;2024;13;0;4;14282;1;3;0;1;0;11;123;69
112;2023;13;0;4;12308;0;2;1;0;0;13;107;54
112;2022;13;0;5;17957;3;2;0;1;2;11;206;91
112;2021;13;0;3;9821;1;2;0;0;0;10;106;71
112;2020;13;0;3;10712;1;2;0;0;0;6;95;77
268;2022;6;0;4;14305;1;3;0;0;0;14;133;61
268;2021;16;0;4;14620;3;0;1;0;1;8;115;76
268;2020;19;0;4;11220;2;1;0;1;0;8;102;70
277;2024;10;0;3;10731;1;2;0;0;1;10;85;63
277;2023;10;0;3;10766;2;1;0;1;1;7;75;67
277;2022;10;0;5;14938;1;2;1;0;0;11;116;61
277;2021;10;0;5;18300;5;0;0;0;1;10;141;73
277;2020;10;0;5;15563;2;2;0;1;1;8;116;71
281;2022;54;1;3;10800;1;2;0;0;0;10;100;71
281;2021;1;0;4;12197;1;1;1;0;0;9;93;66
281;2020;1;0;2;7500;1;0;1;0;0;4;70;82
295;2024;24;0;5;16012;3;1;0;0;1;11;130;68
295;2023;24;0;5;15503;4;1;0;0;0;11;134;74
295;2022;24;0;4;12030;2;1;0;0;0;15;135;68
295;2021;24;0;3;9712;0;2;0;0;0;13;95;54
295;2020;24;0;5;14432;2;1;1;0;1;14;121;58
310;2021;52;1;2;7200;2;0;0;0;0;2;58;89
310;2020;31;1;5;13516;1;3;0;0;1;13;118;63
316;2024;7;0;3;10874;3;0;0;0;0;8;112;83
316;2023;14;0;3;10796;2;1;0;0;0;12;107;60
316;2022;14;0;2;7200;2;0;0;0;0;4;52;73
316;2021;14;0;3;11100;3;0;0;0;0;8;79;70
316;2020;18;0;4;14177;1;3;0;0;0;14;120;64
318;2024;22;0;5;18652;3;0;2;0;1;16;151;68
318;2023;22;0;4;14914;3;1;0;0;0;15;131;66
318;2022;22;0;4;14633;3;0;1;0;0;9;114;69
318;2021;22;0;6;20238;1;3;0;0;1;15;190;72
318;2020;22;0;5;15576;3;2;0;0;1;11;141;74
335;2022;0;0;3;7397;2;0;0;0;0;8;61;54
335;2021;3;0;2;6914;1;0;1;0;0;3;64;80
335;2020;3;0;4;14400;2;2;0;0;0;14;144;68
346;2022;25;0;4;11350;0;3;1;0;0;15;114;55
346;2020;27;0;1;3146;0;1;0;0;0;6;30;38
349;2020;50;1;4;13234;3;1;0;0;0;12;93;53
352;2023;31;1;4;12070;0;1;2;0;0;8;102;65
