PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
0;2024;48;1;28;95721;7;19;1;4;1;97;960;67
0;2024;29;0;26;91200;15;10;0;1;0;75;894;75
0;2023;29;0;39;124470;10;20;5;2;0;122;1234;66
0;2022;45;1;47;166130;22;17;7;2;3;142;1473;67
0;2021;45;1;53;187583;26;18;7;1;4;150;1672;70
0;2020;45;1;56;200633;38;14;4;1;4;152;1805;72
13;2024;7;0;40;134104;20;16;2;1;1;126;1151;64
13;2023;7;0;38;131976;15;19;2;5;4;99;1243;75
13;2022;7;0;35;108053;11;14;5;2;3;103;1001;66
13;2021;7;0;44;147535;23;16;3;1;1;139;1488;71
13;2020;7;0;54;195169;32;10;11;2;4;151;1688;71
35;2024;59;1;35;120471;19;13;2;3;1;100;1072;65
35;2023;59;1;17;60678;4;8;3;0;0;56;500;59
35;2022;59;1;52;179672;21;23;6;4;2;152;1662;68
35;2021;59;1;34;113680;12;15;2;2;1;87;1098;74
35;2020;38;1;45;139053;15;18;6;2;1;142;1284;60
103;2024;30;0;59;202363;34;20;3;2;2;153;1889;73
103;2023;30;0;62;219935;38;21;3;2;5;184;2042;71
103;2022;30;0;36;122705;19;13;3;4;1;91;1171;75
103;2021;30;0;56;199241;36;16;3;0;4;157;1735;70
103;2020;30;0;53;183926;28;19;3;4;3;139;1488;69
112;2024;13;0;49;172983;25;19;4;5;0;151;1625;73
112;2023;13;0;49;168256;30;12;2;2;4;117;1707;78
112;2022;13;0;67;223806;35;23;4;6;2;193;2246;72
112;2021;13;0;34;106802;8;18;3;2;0;103;1040;66
112;2020;13;0;59;208997;30;23;5;2;2;163;1915;73
268;2024;1;0;26;79418;11;9;2;1;2;75;752;64
268;2023;17;0;37;122701;16;17;0;0;2;105;1122;68
268;2022;6;0;48;163549;17;24;5;1;2;162;1590;66
268;2021;16;0;56;194489;21;27;7;1;5;174;1686;65
268;2020;19;0;31;96191;14;10;1;0;0;87;810;63
277;2024;10;0;27;96303;17;7;3;1;4;59;685;69
277;2023;10;0;33;110968;21;7;3;0;3;63;809;70
277;2022;10;0;41;144853;23;13;4;1;1;110;1138;66
277;2021;10;0;52;186412;35;10;6;0;3;122;1453;71
277;2020;10;0;64;221989;35;24;4;0;6;164;1661;66
281;2024;52;1;44;158180;26;13;4;1;8;109;1291;71
281;2023;38;1;37;128857;30;6;0;1;5;75;1009;75
281;2022;54;1;34;114723;13;14;4;3;2;92;1067;71
281;2021;60;1;31;103245;24;4;0;2;4;63;866;75
281;2021;1;0;15;51634;7;4;2;0;1;54;421;60
281;2020;1;0;19;59422;12;5;0;0;2;50;546;70
295;2024;24;0;48;164722;26;14;4;1;1;136;1517;70
295;2023;24;0;65;232797;33;27;4;7;2;187;2093;70
295;2022;24;0;35;115988;10;18;6;3;0;108;1049;65
295;2021;24;0;60;204796;25;25;7;3;0;197;2071;69
295;2020;24;0;68;232811;25;34;6;2;1;218;2380;69
310;2023;16;0;20;56315;8;7;1;2;0;52;506;62
310;2022;52;1;46;164221;28;13;4;4;3;117;1414;72
310;2021;52;1;32;101868;15;10;4;2;2;81;928;68
310;2020;31;1;48;160525;25;13;7;2;3;113;1362;68
316;2024;7;0;47;162535;19;22;3;1;1;136;1466;69
316;2023;14;0;46;147437;22;15;5;1;4;116;1411;72
316;2022;14;0;34;121411;21;12;1;1;1;100;1066;72
316;2021;14;0;34;113165;14;14;3;2;1;96;1063;71
316;2020;18;0;36;127248;18;14;4;3;1;107;1163;70
318;2024;22;0;29;83960;10;11;1;0;1;70;821;69
318;2023;22;0;35;110398;15;9;3;3;1;88;1052;69
318;2022;22;0;55;185822;25;20;5;4;1;156;1596;68
318;2021;22;0;52;170408;15;26;7;3;3;173;1632;64
318;2020;22;0;56;199726;22;29;5;4;2;182;1845;68
335;2024;60;1;49;176039;36;8;4;1;6;109;1290;69
335;2023;48;1;32;106589;13;13;3;1;1;108;1067;65
335;2022;48;1;18;59446;10;3;3;1;0;48;524;68
335;2021;37;1;45;151063;20;15;6;2;4;135;1585;73
335;2020;3;0;31;89554;10;14;0;3;0;73;839;68
346;2024;46;1;33;102962;18;10;0;2;1;83;898;66
346;2023;25;0;32;109815;14;16;1;3;1;106;1018;63
346;2022;25;0;41;131023;16;18;2;1;0;135;1330;65
346;2021;25;0;51;168292;25;17;4;5;4;145;1469;66
346;2020;27;0;16;42484;7;3;1;0;1;33;374;64
349;2024;59;1;42;147556;20;17;3;4;0;117;1342;71
349;2023;61;1;27;93503;9;15;3;1;1;97;920;64
349;2022;48;1;57;203578;32;16;8;2;0;171;1772;68
349;2021;48;1;20;67779;10;7;2;0;1;53;561;65
349;2020;15;0;2;7200;0;2;0;0;0;11;72;44
349;2020;50;1;31;107217;12;15;3;0;0;109;1049;67
352;2024;45;1;47;157576;20;18;4;3;1;122;1458;74
352;2023;23;0;1;449;0;0;0;0;0;3;9;31
352;2023;31;1;43;141158;15;21;3;0;0;142;1549;70
352;2022;23;0;22;67200;7;12;0;1;0;81;678;61
352;2021;23;0;33;108308;17;12;1;1;2;87;903;67
352;2020;25;0;24;76243;10;7;4;0;1;61;733;72
360;2024;16;0;62;214733;31;24;3;1;6;156;1880;72
360;2023;16;0;66;230244;36;25;2;2;5;203;2116;69
360;2022;9;0;63;219466;31;23;6;0;2;212;2211;72
360;2021;9;0;61;217569;37;22;2;5;5;184;2143;75
360;2020;9;0;57;202559;35;17;3;1;4;158;1669;69
