PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
1;2020;16;0;4;14391;2;2;0;0;0;12;104;55
118;2020;24;0;4;11003;1;1;1;0;0;11;105;60
1484;2020;38;1;4;12291;3;0;0;0;1;7;90;71
47;2020;21;0;5;14470;3;1;0;0;0;12;144;67
53;2020;8;0;4;10518;0;3;0;0;0;15;83;38
71;2020;2;0;3;7511;1;1;0;1;0;5;69;71
109;2020;16;0;3;10800;2;1;0;0;0;6;83;73
155;2020;47;1;0;0;0;0;0;0;0;0;0;0
162;2020;17;0;3;10746;1;2;0;0;0;11;86;60
269;2020;11;0;4;14392;3;1;0;0;0;10;132;79
3454;2020;23;0;3;10784;1;1;1;0;0;12;99;61
2974;2020;47;1;2;7200;0;2;0;0;0;10;84;58
3262;2021;37;1;4;13877;0;4;0;0;0;21;150;49
3262;2020;37;1;4;11285;2;1;0;0;0;10;96;57
57;2021;30;0;0;0;0;0;0;0;0;0;0;0
57;2020;30;0;3;10800;3;0;0;0;1;3;81;89
68;2020;4;0;3;10800;3;0;0;0;0;4;98;87
147;2021;26;0;3;10801;1;2;0;0;0;9;97;72
147;2020;26;0;3;10664;1;2;0;0;0;8;82;68
169;2021;29;0;2;7200;0;2;0;0;0;10;69;56
169;2020;29;0;3;10721;1;2;0;1;0;7;76;65
642;2021;17;0;5;18508;3;1;1;1;1;11;167;82
642;2020;17;0;3;10789;2;1;0;0;0;6;79;75
1488;2021;41;1;3;10750;2;1;0;0;0;11;86;56
1488;2020;41;1;4;11466;2;0;1;0;0;8;81;62
1556;2020;57;1;3;7976;1;0;1;0;0;7;74;65
2975;2021;33;1;3;10810;3;0;0;0;1;5;92;79
2975;2020;33;1;0;0;0;0;0;0;0;0;0;0
3316;2020;53;1;2;5808;0;2;0;0;0;11;58;33
12;2022;39;1;3;7585;2;0;0;0;0;5;80;75
12;2021;11;0;1;3600;0;1;0;0;0;5;39;59
12;2020;4;0;3;10800;3;0;0;0;0;6;115;87
15;2021;25;0;4;14314;1;3;0;1;0;15;118;57
15;2020;25;0;5;13953;1;3;0;0;1;23;161;51
96;2022;40;1;4;14400;0;4;0;0;0;18;183;75
96;2021;7;0;3;7768;0;2;0;0;0;11;67;47
96;2020;7;0;3;10873;3;0;0;0;0;7;85;71
139;2021;0;0;4;14700;1;2;1;0;0;12;134;73
139;2020;0;0;4;12223;1;2;0;1;0;11;102;62
141;2022;6;0;3;10775;1;2;0;0;0;8;93;75
141;2021;6;0;4;14743;2;1;1;0;1;8;106;72
141;2020;6;0;5;14480;0;4;0;0;0;18;141;52
183;2021;34;1;1;3600;1;0;0;0;0;3;42;76
183;2020;34;1;5;17660;3;1;0;0;1;11;136;74
185;2022;14;0;5;18251;4;1;0;1;2;6;127;80
185;2021;14;0;4;14337;2;2;0;0;1;10;113;67
185;2020;14;0;3;11210;1;0;2;0;0;10;101;64
256;2021;9;0;1;3600;1;0;0;0;0;2;23;67
256;2020;6;0;4;10668;1;2;0;0;0;14;119;62
264;2021;45;1;3;11100;2;1;0;0;0;10;114;76
264;2020;29;0;4;14426;2;2;0;1;0;14;113;59
270;2022;28;0;4;14349;3;1;0;1;1;5;126;88
270;2021;20;0;4;12652;1;3;0;0;0;17;130;54
270;2020;20;0;4;12354;2;1;1;0;0;16;127;61
635;2022;20;0;3;11091;1;2;0;0;0;12;112;74
635;2021;20;0;4;12548;3;0;0;0;0;9;108;69
635;2020;20;0;4;13192;1;1;1;0;0;18;121;47
647;2022;19;0;3;9311;2;0;0;0;0;11;80;52
647;2021;19;0;3;10872;2;1;0;0;0;8;92;70
647;2020;19;0;4;14289;2;2;0;1;0;14;158;78
79;2023;19;0;4;11316;0;3;0;0;0;10;112;66
79;2022;19;0;4;12256;3;1;0;0;0;8;141;80
79;2021;12;0;3;10800;2;1;0;0;0;9;110;75
79;2020;12;0;3;10758;1;2;0;0;0;9;96;70
142;2023;2;0;3;10800;3;0;0;0;1;6;94;80
142;2022;2;0;4;14400;4;0;0;0;0;8;117;81
142;2021;2;0;5;17961;4;1;0;0;0;15;151;67
142;2020;2;0;4;14346;2;1;1;0;0;11;132;77
144;2023;18;0;3;10800;3;0;0;0;0;8;89;67
144;2022;18;0;3;10728;2;1;0;0;0;9;83;62
144;2021;18;0;4;14283;0;4;0;1;0;12;103;58
144;2020;18;0;3;11345;3;0;0;0;0;8;73;65
224;2023;23;0;3;10197;0;3;0;0;0;18;124;49
224;2022;30;0;3;9083;1;2;0;0;0;11;69;53
224;2021;4;0;4;8226;1;0;1;0;0;5;82;67
224;2020;0;0;4;12876;1;3;0;0;0;15;114;56
249;2023;21;0;4;11050;3;0;0;0;0;7;86;67
249;2021;21;0;3;11100;2;1;0;0;0;10;108;72
249;2020;21;0;3;10674;1;2;0;0;1;8;70;56
683;2023;3;0;4;15000;2;1;1;0;0;11;172;91
683;2022;3;0;5;12363;2;2;0;0;0;14;125;63
683;2020;1;0;4;14340;2;2;0;2;0;11;122;69
3022;2020;53;1;3;10767;2;1;0;0;0;5;89;83
3170;2020;46;1;4;12475;0;3;1;1;0;17;142;56
3214;2020;58;1;4;12269;1;2;0;0;0;20;128;43
3406;2023;33;1;4;9705;1;2;0;0;0;18;139;51
3406;2022;31;1;3;9314;2;1;0;0;0;10;110;69
3406;2021;31;1;2;7200;2;0;0;0;0;7;56;64
3406;2020;31;1;4;11645;0;3;0;1;0;17;117;54
