PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
1;2020;16;0;44;158054;24;17;2;1;1;136;1223;60
118;2020;24;0;21;62285;4;9;3;3;0;68;644;61
1484;2020;58;1;12;40304;6;4;1;1;1;32;387;75
1484;2020;38;1;11;35071;5;5;0;2;0;41;372;66
47;2020;21;0;45;149747;16;21;4;1;0;124;1380;70
53;2020;8;0;21;67819;10;6;1;1;1;56;571;63
71;2020;18;0;24;83857;13;8;2;3;0;61;709;69
71;2020;2;0;10;33384;7;1;1;0;0;24;251;63
109;2020;16;0;41;139053;19;15;5;5;2;109;1207;69
155;2020;14;0;27;87882;10;11;4;2;2;75;758;67
162;2020;17;0;28;89151;13;13;0;2;0;91;856;65
269;2020;11;0;22;70655;7;9;3;1;0;70;661;64
3454;2020;23;0;17;44300;2;8;1;1;0;50;419;56
2974;2021;47;1;0;0;0;0;0;0;0;0;0;0
2974;2020;47;1;30;95957;13;10;3;1;0;73;896;70
3262;2020;37;1;44;142938;25;11;3;5;4;99;1299;73
57;2021;30;0;28;98722;16;6;5;2;2;69;834;70
57;2020;30;0;34;113830;16;15;1;3;1;101;972;66
68;2021;41;1;24;87686;11;9;4;0;0;63;693;67
68;2020;4;0;59;202542;18;30;8;7;2;192;2027;70
147;2021;26;0;32;110462;17;12;2;2;2;88;999;73
147;2020;26;0;68;246060;45;18;5;3;6;170;2044;73
169;2021;29;0;39;118914;15;16;2;3;2;101;1087;69
169;2020;29;0;27;88111;12;12;1;3;0;82;786;66
642;2021;17;0;52;177705;26;19;5;4;4;143;1537;68
642;2020;17;0;61;208849;34;19;3;4;4;144;1831;71
1488;2020;41;1;36;126682;19;10;5;0;2;86;999;67
1556;2021;60;1;10;34130;4;6;0;0;0;36;293;58
1556;2020;57;1;38;132436;23;13;2;2;3;107;1250;72
2975;2021;33;1;1;3600;1;0;0;0;0;1;18;70
2975;2020;33;1;16;54132;8;6;1;0;1;42;448;64
3316;2020;53;1;31;102150;16;12;1;0;0;91;920;67
12;2022;39;1;39;132206;17;19;1;0;3;118;1225;68
12;2021;11;0;40;125165;15;16;2;2;2;116;1375;72
12;2020;4;0;30;95193;6;17;3;3;0;99;1007;65
15;2021;25;0;39;129928;14;18;4;3;0;120;1100;60
15;2020;25;0;62;223141;25;26;10;5;7;178;2123;73
96;2022;7;0;4;8248;1;1;1;0;0;8;107;70
96;2022;40;1;25;69275;11;6;1;0;0;54;676;71
96;2021;7;0;44;150740;16;19;5;0;2;149;1625;72
96;2020;7;0;31;105352;16;10;3;1;1;80;951;74
139;2022;0;0;20;59876;4;11;2;3;0;69;623;62
139;2021;0;0;35;112868;11;21;1;3;1;111;1051;65
139;2020;0;0;47;164329;27;11;6;1;2;127;1435;73
141;2022;6;0;42;134530;14;20;2;2;2;112;1226;67
141;2021;6;0;41;135293;13;17;6;0;1;130;1299;66
141;2020;6;0;59;205567;22;33;2;5;2;196;1876;67
183;2021;11;0;3;11280;1;1;1;0;0;11;131;74
183;2020;11;0;1;3600;1;0;0;0;0;5;27;49
183;2020;34;1;26;80357;8;12;1;5;0;69;804;69
185;2022;14;0;48;174454;25;17;5;3;0;140;1501;67
185;2021;14;0;53;184722;22;24;5;2;7;137;1906;80
185;2020;14;0;61;209854;36;18;3;4;5;152;1824;71
246;2021;15;0;1;3549;0;1;0;0;0;1;23;69
256;2021;61;1;3;10603;1;2;0;0;0;12;102;65
256;2020;6;0;27;90605;8;17;0;2;0;93;913;65
264;2022;29;0;48;170826;21;20;5;5;3;158;1774;74
264;2021;45;1;27;89173;9;14;2;7;0;71;768;65
264;2020;29;0;61;209728;35;19;3;1;5;146;1827;74
270;2022;28;0;59;202440;31;23;2;3;4;168;1927;72
270;2021;20;0;50;182770;27;16;6;2;2;145;1913;77
270;2020;20;0;58;204343;27;25;4;7;3;165;1993;74
635;2022;20;0;32;97814;8;17;2;2;0;106;1133;67
635;2021;20;0;34;116850;8;23;2;3;0;124;1254;67
635;2020;20;0;26;83429;9;11;3;2;1;74;752;64
647;2022;19;0;38;130681;15;19;2;2;0;125;1278;67
647;2021;19;0;41;141101;28;9;1;2;3;103;1336;77
647;2020;19;0;59;200120;30;23;4;1;4;167;1799;69
79;2023;19;0;58;188899;21;29;3;3;3;179;1898;68
79;2022;19;0;51;168485;24;13;9;2;3;121;1609;74
79;2021;39;1;9;32748;1;6;2;2;1;33;306;63
79;2021;12;0;34;117676;14;16;2;3;0;126;1153;63
79;2020;12;0;52;178556;21;22;4;5;2;162;1587;64
142;2023;2;0;28;85243;9;11;3;1;0;76;848;69
142;2022;2;0;30;94383;14;10;2;1;1;78;863;69
142;2021;2;0;58;203630;38;12;6;3;7;151;1715;73
142;2020;2;0;42;145278;16;21;3;5;1;130;1207;65
144;2023;18;0;44;144885;24;12;4;2;1;122;1246;65
