PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
35;59;59;9;498;4;2;2;318;288;30;3.61;0;.906;69
103;30;30;11;684;7;4;0;353;321;32;2.80;1;.909;71
112;13;13;1;15;0;0;0;17;16;1;3.84;0;.941;63
268;1;1;1;11;0;0;0;6;6;0;0.00;0;1.000;59
295;24;24;18;1076;8;10;0;657;593;64;3.57;1;.903;71
335;60;60;18;1107;11;5;2;458;424;34;1.84;3;.926;72
349;59;59;5;194;2;1;0;138;123;15;4.62;0;.891;58
485;36;36;6;367;2;2;2;191;174;17;2.78;2;.911;70
487;27;27;1;22;0;0;0;15;13;2;5.43;0;.867;55
489;19;19;1;54;0;0;0;32;30;2;2.21;0;.938;80
534;38;38;7;416;3;4;0;191;173;18;2.59;1;.906;66
593;57;24;7;414;2;4;0;204;176;28;4.05;0;.863;55
599;36;36;1;12;0;0;0;4;4;0;0.00;0;1.000;53
691;10;10;17;1026;16;1;0;383;350;33;1.93;2;.914;70
714;13;13;4;224;0;3;1;149;133;16;4.27;0;.893;70
727;4;4;2;114;0;2;0;94;82;12;6.26;0;.872;56
734;2;2;1;5;0;0;0;1;1;0;0.00;0;1.000;48
771;34;34;14;870;7;6;1;385;354;31;2.14;2;.919;70
907;57;57;1;5;1;0;0;3;3;0;0.00;0;1.000;56
1021;15;15;10;609;7;3;0;318;288;30;2.95;0;.906;69
1040;49;49;2;1;0;0;0;0;0;0;0.00;0;.000;49
1046;52;52;7;416;3;4;0;210;190;20;2.88;1;.905;67
1056;19;19;10;551;5;3;2;320;292;28;3.05;1;.913;72
1061;28;28;10;639;6;1;3;288;261;27;2.53;1;.906;71
1085;44;44;6;367;2;3;1;199;178;21;3.43;0;.894;64
1128;15;15;11;624;5;5;0;305;275;30;2.88;1;.902;64
1149;12;12;1;54;0;0;0;33;27;6;6.58;0;.818;37
1163;0;0;4;254;0;3;1;155;140;15;3.54;0;.903;68
1234;39;20;17;1045;10;6;1;450;403;47;2.70;2;.896;65
1259;53;53;6;168;1;3;0;103;95;8;2.85;0;.922;61
1278;12;12;4;211;0;3;1;128;116;12;3.41;0;.906;70
1279;49;49;19;1169;10;7;2;612;563;49;2.51;1;.920;75
1335;4;4;6;304;3;2;0;186;174;12;2.37;0;.935;78
1355;2;2;17;1052;9;8;0;611;557;54;3.08;0;.912;76
1901;39;39;7;434;6;1;0;192;172;20;2.76;1;.896;62
2192;60;60;6;373;2;2;2;168;146;22;3.54;1;.869;55
2269;25;25;14;842;7;6;1;512;468;44;3.13;0;.914;73
2314;18;18;5;304;1;3;1;167;150;17;3.34;0;.898;69
2538;53;10;19;1123;10;7;0;623;565;58;3.10;1;.907;67
2549;30;30;1;0;0;0;0;0;0;0;0.00;0;.000;50
2557;27;27;7;397;3;4;0;256;233;23;3.47;0;.910;73
2598;50;50;12;686;6;5;0;351;321;30;2.62;0;.915;68
2615;40;40;13;776;6;7;0;408;370;38;2.94;1;.907;68
2625;52;52;1;3;0;0;0;1;1;0;0.00;0;1.000;50
2751;50;15;2;112;1;1;0;59;50;9;4.80;0;.847;47
2800;1;1;5;323;1;3;1;203;184;19;3.52;0;.906;72
2834;29;29;5;297;1;3;0;173;154;19;3.83;0;.890;67
2846;41;4;7;430;3;3;1;209;191;18;2.51;0;.914;75
2947;29;29;1;4;0;0;1;5;4;1;13.24;0;.800;45
3867;95;95;8;491;4;2;2;211;187;24;2.93;2;.886;64
3987;33;33;5;311;1;3;1;151;134;17;3.27;0;.887;64
4480;100;100;6;354;2;4;0;197;167;30;5.08;0;.848;45
4523;90;90;3;164;2;1;0;99;85;14;5.10;0;.859;56
4629;100;100;2;5;0;0;0;3;3;0;0.00;0;1.000;50
4666;93;93;6;357;2;4;0;132;106;26;4.37;0;.803;40
4697;84;84;5;299;2;3;0;125;109;16;3.20;0;.872;49
4705;91;91;16;935;7;8;0;478;430;48;3.08;2;.900;67
4754;96;96;1;0;0;0;0;0;0;0;0.00;0;.000;50
4838;102;102;8;436;2;4;2;216;181;35;4.81;0;.838;49
4872;89;89;11;619;6;4;0;356;316;40;3.87;0;.888;59
4916;46;0;6;365;2;4;0;200;186;14;2.30;0;.930;76
4919;70;70;1;7;0;0;0;2;2;0;0.00;0;1.000;52
4940;62;62;12;689;6;2;2;357;327;30;2.61;0;.916;69
4942;63;63;3;178;2;1;0;72;67;5;1.68;1;.931;72
5088;78;78;6;347;1;5;0;163;137;26;4.49;0;.840;48
5090;74;74;4;198;2;1;0;107;98;9;2.72;0;.916;61
5154;83;83;2;55;0;1;0;53;47;6;6.49;0;.887;57
5183;69;69;1;18;0;0;0;21;17;4;13.00;0;.810;35
