PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
13;7;7;3;180;3;0;0;105;101;4;1.33;0;.962;90
103;30;30;4;249;2;1;1;133;126;7;1.68;1;.947;89
112;13;13;4;238;1;3;0;123;112;11;2.77;0;.911;69
277;10;10;3;178;1;2;0;85;75;10;3.35;1;.882;63
295;24;24;5;266;3;1;0;130;119;11;2.47;1;.915;68
316;7;7;3;181;3;0;0;112;104;8;2.65;0;.929;83
318;22;22;5;310;3;0;2;151;135;16;3.09;1;.894;68
360;16;16;4;238;3;1;0;100;90;10;2.51;0;.900;63
419;20;20;3;162;0;3;0;119;105;14;5.16;0;.882;68
427;54;9;2;123;1;1;0;57;51;6;2.90;0;.895;71
429;28;28;5;223;3;2;0;100;87;13;3.49;0;.870;56
482;6;6;3;179;2;1;0;116;107;9;3.02;0;.922;82
483;6;6;4;242;1;2;1;169;155;14;3.47;0;.917;81
487;27;27;4;200;3;1;0;120;109;11;3.29;0;.908;66
489;19;19;3;180;1;2;0;98;88;10;3.33;0;.898;64
505;17;17;4;245;2;2;0;163;148;15;3.67;0;.908;74
668;56;12;4;244;2;1;1;147;137;10;2.45;0;.932;78
692;35;13;4;221;2;2;0;125;112;13;3.52;0;.896;63
707;20;20;5;255;2;2;0;167;153;14;3.29;0;.916;70
710;26;26;5;298;2;3;0;193;176;17;3.41;1;.912;72
711;3;3;4;238;0;4;0;153;140;13;3.26;0;.915;70
727;4;4;3;180;2;1;0;110;102;8;2.65;1;.927;71
734;2;2;3;178;2;1;0;92;84;8;2.68;0;.913;67
735;5;5;4;229;0;3;0;163;143;20;5.24;0;.877;62
737;23;23;4;183;1;2;0;113;106;7;2.29;0;.938;74
783;11;11;4;240;3;1;0;143;134;9;2.25;1;.937;86
812;24;24;3;185;3;0;0;87;81;6;1.95;0;.931;75
998;8;8;5;289;1;3;0;184;169;15;3.10;0;.918;78
1002;34;34;4;183;1;3;0;105;94;11;3.59;0;.895;62
1021;15;15;4;239;2;2;0;134;118;16;4.01;0;.881;62
1036;22;22;2;118;1;1;0;79;72;7;3.54;0;.911;77
1042;36;36;5;247;4;0;0;102;90;12;2.91;0;.882;61
1056;19;19;3;180;2;1;0;106;97;9;3.00;0;.915;78
1149;12;12;4;238;2;2;0;129;115;14;3.53;0;.891;66
1163;0;0;4;239;2;2;0;114;101;13;3.26;1;.886;62
1221;25;25;3;180;1;1;1;110;100;10;3.33;0;.909;73
1234;39;20;5;209;2;0;1;92;82;10;2.87;0;.891;57
1239;26;26;1;60;1;0;0;24;23;1;1.00;0;.958;76
1278;12;12;3;178;1;2;0;110;100;10;3.35;0;.909;72
1332;9;9;5;247;1;2;1;173;156;17;4.12;0;.902;67
1333;17;17;3;185;1;1;1;111;101;10;3.24;0;.910;74
1355;2;2;4;245;2;1;1;106;95;11;2.69;0;.896;67
1406;21;21;4;245;3;0;1;120;116;4;0.98;1;.967;83
1690;21;21;3;178;0;3;0;116;103;13;4.36;0;.888;68
1694;57;24;5;299;3;2;0;161;148;13;2.61;2;.919;72
1731;3;3;2;120;0;2;0;73;65;8;4.00;0;.890;63
1820;58;58;3;135;1;1;0;79;69;10;4.43;0;.873;61
1865;61;19;5;196;2;2;0;98;84;14;4.27;0;.857;53
1875;37;3;3;180;3;0;0;73;69;4;1.33;1;.945;83
1890;61;19;4;222;2;1;0;125;115;10;2.70;1;.920;71
1901;39;39;4;218;1;3;0;123;105;18;4.95;0;.854;53
1911;31;23;3;179;2;1;0;99;89;10;3.34;0;.899;63
1934;45;45;3;179;2;1;0;91;84;7;2.34;0;.923;71
1971;55;21;4;238;3;1;0;113;105;8;2.01;0;.929;72
1988;43;30;5;310;5;0;0;146;140;6;1.16;2;.959;85
2016;14;14;3;179;1;2;0;107;97;10;3.33;0;.907;68
2033;51;22;5;232;1;3;1;177;158;19;4.91;0;.893;62
2035;32;27;5;237;1;3;0;185;171;14;3.53;0;.924;78
2057;14;14;3;183;3;0;0;121;113;8;2.62;0;.934;83
2079;44;6;3;167;1;2;0;85;68;17;6.10;0;.800;35
2081;56;12;3;180;2;1;0;114;105;9;3.00;0;.921;77
2174;18;18;4;243;2;1;1;141;130;11;2.71;0;.922;76
2192;60;60;4;239;1;3;0;101;91;10;2.50;0;.901;62
2246;42;17;5;249;1;2;1;175;161;14;3.37;0;.920;69
2266;8;8;3;129;2;1;0;70;62;8;3.70;0;.886;57
2269;25;25;3;179;1;2;0;126;118;8;2.68;1;.937;79
2273;49;26;4;209;2;0;1;129;121;8;2.30;0;.938;77
2314;18;18;3;184;1;1;1;86;77;9;2.93;0;.895;59
2358;38;28;2;120;2;0;0;37;33;4;2.00;0;.892;58
2375;23;23;4;238;2;2;0;147;129;18;4.52;0;.878;62
2458;32;32;3;184;1;2;0;148;135;13;4.24;0;.912;85
2532;58;58;2;120;2;0;0;94;91;3;1.50;0;.968;95
2538;53;10;3;180;1;2;0;110;97;13;4.33;0;.882;61
2557;27;27;4;228;1;1;1;133;126;7;1.84;1;.947;88
