PlayerId;TeamId;FranchiseId;First Name;Last Name;Nick Name;Height;Weight;Date Of Birth;Birthcity;Birthstate;Nationality_One;Nationality_Two;Nationality_Three;Retired
0;48;5;Hunter;Jones;;76;211;2000-9-21;Brantford;ON;Canada;;;0
2;-1;-1;Artem;Anisimov;;76;201;1988-5-24;Yaroslavl;YAR;Russia;;;0
4;30;30;Mario;Ferraro;;71;185;1998-9-17;King City;ON;Canada;;;0
5;-1;-1;Mikael;Backlund;;72;204;1989-3-17;Västerås;VäS;Sweden;;;0
6;16;16;Nicklas;Backstrom;;72;214;1987-11-23;Gävle;GäV;Sweden;;;0
7;-1;-1;Josh;Bailey;;73;212;1989-10-2;Oshawa;ON;Canada;;;0
10;7;7;Jamie;Benn;Chubbs;74;211;1989-7-18;Victoria;BC;Canada;;;0
13;7;7;Ben;Bishop;;79;225;1986-11-21;St. Louis;MO;The United States;;;0
14;41;41;Andrei;Altybarmakyan;;71;192;1998-8-4;St. Petersburg;SAI;Russia;;;0
16;-1;-1;Zach;Bogosian;;75;227;1990-7-15;Massena;NY;The United States;;;0
22;21;21;Brent;Burns;;77;233;1985-3-9;Ajax;ON;Canada;;;0
24;-1;-1;Matt;Calvert;;71;187;1989-12-24;Brandon;MB;Canada;;;0
25;16;16;John;Carlson;;75;216;1990-1-10;Montague;MA;The United States;;;0
28;-1;-1;Zach;Whitecloud;;74;209;1996-11-28;Brandon;MB;Canada;;;0
29;-1;-1;Kiefer;Sherwood;;72;194;1995-3-21;New Albany;OH;The United States;;;0
30;-1;-1;Kyle;Clifford;The Colonel;74;213;1991-1-13;Ayr;ON;Canada;;;0
33;38;28;Ian;Cole;;73;220;1989-2-21;Ann Arbor;MI;The United States;;;0
35;59;59;Cam;Johnson;;73;216;1994-7-11;Troy;MI;The United States;;;0
36;21;21;Logan;Couture;;73;205;1989-3-28;London;ON;Canada;;;0
38;9;9;Sidney;Crosby;Sid the Kid;71;201;1987-8-7;Cole Harbour;NS;Canada;;;0
39;22;22;Evgeni;Dadonov;;71;187;1989-3-12;Chelyabinsk;CHE;Russia;;;0
41;45;45;Michael;Del Zotto;DZ;72;199;1990-6-24;Whitchurch-Stouffville;ON;Canada;Italy;;0
43;-1;-1;Karson;Kuhlman;;71;185;1995-9-26;Duluth;MN;The United States;;;0
44;6;6;Drew;Doughty;;73;205;1989-12-8;London;ON;Canada;;;0
45;30;30;Jack;Badini;;72;203;1998-1-19;Greenwich;CT;The United States;;;0
48;26;26;Matt;Duchene;;71;200;1991-1-16;Dysart;ON;Canada;;;0
51;20;20;Oliver;Ekman Larsson;;74;201;1991-7-17;Karlskrona;BLE;Sweden;;;0
52;-1;-1;Lars;Eller;;73;208;1989-5-8;Rødovre;COP;Denmark;;;0
55;49;49;Loui;Eriksson;;74;184;1985-7-17;Göteborg;VäS;Sweden;;;0
58;15;15;Nick;Foligno;;72;204;1987-10-31;Buffalo;NY;The United States;Canada;;0
61;41;41;Sam;Gagner;;71;201;1989-8-10;London;ON;Canada;;;0
65;8;8;Claude;Giroux;;71;186;1988-1-12;Hearst;ON;Canada;;;0
70;53;53;Jacob;Bryson;;69;186;1997-11-18;London;ON;Canada;;;0
72;26;26;Taylor;Hall;;73;206;1991-11-14;Calgary;AB;Canada;;;0
73;-1;-1;Travis;Hamonic;;74;205;1990-8-16;Winnipeg;MB;Canada;;;0
74;23;23;Victor;Hedman;;78;230;1990-12-18;Örnsköldsvik;VäS;Sweden;;;0
76;-1;-1;Adam;Henrique;;72;195;1990-2-6;Brantford;ON;Canada;;;0
77;-1;-1;Niklas;Hjalmarsson;The Hammer;74;197;1987-6-6;Eksjö;JöN;Sweden;;;0
81;30;30;Paul;Cotter;;72;209;1999-11-16;Canton;MI;The United States;;;0
82;30;30;Lucas;Elvenes;;73;181;1999-8-18;Ängelholm;SKå;Sweden;;;0
83;16;16;Dmitri;Samorukov;;75;201;1999-6-16;Volgograd;VOL;Russia;;;0
