PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
2;2023;48;9999;4;1;0;2;-5;0;0;0;0;56;0;6;8;7;7;0;4;2;4481;0;276;0;0
2;2022;51;9999;4;0;0;0;-5;0;0;0;0;49;0;5;10;3;1;1;0;0;2081;246;2;0;0
2;2021;51;9999;6;0;4;0;0;0;0;0;0;61;0;18;13;6;4;3;4;1;5965;818;403;0;0
4;2024;30;9999;1;0;1;0;2;0;0;0;0;57;0;1;0;0;2;3;0;4;1499;0;0;0;0
4;2023;30;9999;12;0;4;12;0;0;0;0;0;65;0;19;0;0;21;4;1;17;13331;609;830;0;0
4;2022;21;9999;5;0;1;0;5;0;0;0;0;65;0;6;0;0;7;2;1;10;6038;0;233;0;0
4;2021;21;9999;4;0;1;2;0;0;0;0;0;66;0;5;0;0;7;1;0;10;4498;0;449;0;0
5;2022;13;9999;1;1;0;0;-1;0;0;0;0;51;0;2;0;0;0;1;0;0;521;0;0;0;0
5;2020;13;9999;6;2;1;2;-3;0;0;0;0;59;0;16;70;38;5;3;0;2;6419;277;31;0;0
6;2023;16;9999;5;1;1;0;-3;0;0;0;0;52;0;3;58;27;12;2;1;3;3933;0;40;0;0
6;2020;16;9999;11;4;7;0;-1;2;1;0;0;66;0;21;188;104;14;3;7;5;11749;1665;0;0;0
7;2022;14;9999;5;0;2;0;-3;0;0;0;0;56;0;4;5;3;3;0;3;7;4177;284;0;0;0
7;2020;14;9999;7;2;5;2;3;0;3;0;0;59;0;15;23;12;10;6;2;6;7750;722;0;0;0
10;2021;7;9999;10;5;3;2;4;0;0;0;0;58;0;27;15;4;22;7;2;4;11306;996;342;0;0
14;2024;41;9999;7;5;2;6;4;1;1;0;0;67;0;20;7;6;4;4;3;3;7380;1359;3;0;0
14;2022;15;9999;1;0;0;0;-1;0;0;0;0;49;0;3;1;0;0;1;0;0;445;0;0;0;0
14;2020;37;9999;9;1;3;2;-6;1;3;0;0;59;0;26;0;0;6;4;1;6;8128;1647;0;0;0
16;2023;32;9999;3;1;1;0;4;0;0;0;0;60;0;2;0;0;4;1;0;3;3050;46;69;0;0
16;2020;1;9999;7;1;3;0;-7;0;0;0;0;47;0;12;0;0;10;4;1;8;8356;0;462;0;0
22;2022;21;9999;5;0;0;0;-4;0;0;0;0;55;0;13;0;0;0;2;1;8;5688;6;37;0;0
22;2021;21;9999;4;1;0;0;0;0;0;0;0;64;0;6;0;0;2;3;1;6;4506;365;163;0;0
24;2023;30;9999;2;0;0;0;0;0;0;0;0;52;0;0;3;0;2;0;0;1;787;0;120;0;0
24;2022;19;9999;1;0;0;0;-1;0;0;0;0;57;0;1;3;0;0;0;0;0;762;91;139;0;0
24;2021;17;9999;21;4;3;24;1;0;0;0;0;56;0;35;27;11;25;4;7;3;17830;144;1889;0;0
24;2020;19;9999;17;4;7;13;5;0;0;0;0;54;0;32;17;6;19;6;5;5;13369;0;1802;1;0
25;2023;16;9999;5;1;3;0;-1;0;0;0;0;75;0;23;0;0;7;5;3;19;5900;1099;421;0;0
25;2020;16;9999;11;0;8;4;-1;0;1;0;0;71;0;49;0;0;5;3;1;27;13923;1615;625;0;0
28;2022;55;9999;16;1;4;11;4;0;0;0;0;57;0;20;0;0;35;1;5;17;16488;6;1065;1;1
28;2021;30;9999;1;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;1;1042;0;114;0;0
28;2020;30;9999;18;0;3;0;-5;0;0;0;0;53;0;27;0;0;21;6;3;13;20286;77;990;0;0
30;2023;46;9999;4;1;1;10;0;0;0;0;0;56;0;10;1;1;8;4;0;0;4104;0;388;2;0
30;2022;46;9999;5;0;2;5;-4;0;0;0;0;52;0;11;22;13;10;3;0;1;5211;451;505;1;1
30;2021;10;9999;16;5;3;28;-1;0;0;0;0;56;1;32;16;8;40;5;3;3;11669;0;24;4;3
30;2020;10;9999;10;3;0;7;-4;1;0;0;0;53;0;12;7;0;18;5;3;2;7968;343;38;1;0
33;2024;38;9999;6;0;1;4;1;0;0;0;0;55;0;7;0;0;4;3;2;3;5638;16;499;0;0
33;2023;38;9999;6;1;2;0;2;0;0;0;0;63;0;7;0;0;6;1;1;9;6372;0;643;0;0
33;2022;43;9999;1;1;0;0;1;0;0;0;0;75;1;1;0;0;2;0;0;2;949;0;110;0;0
33;2020;19;9999;21;5;5;2;13;0;0;0;0;58;1;47;1;0;19;2;5;24;22460;0;2012;0;0
36;2022;21;9999;5;3;1;0;-5;1;0;0;0;61;0;21;100;48;5;1;4;1;5311;772;32;0;0
36;2021;21;9999;4;0;0;0;-1;0;0;0;0;63;0;7;63;34;3;1;2;1;4151;847;0;0;0
38;2022;9;9999;5;1;4;2;-1;0;1;0;0;59;0;9;75;40;5;2;0;4;4846;399;0;0;0
38;2021;9;9999;13;3;7;0;-4;1;3;0;0;68;1;35;194;92;8;3;3;13;12848;2326;362;0;0
38;2020;9;9999;19;7;11;2;3;1;0;0;0;68;0;44;271;137;13;6;6;10;19401;2534;216;0;0
39;2023;22;9999;1;0;1;0;0;0;0;0;0;56;0;3;5;3;1;0;0;0;367;0;0;0;0
39;2022;22;9999;5;1;1;0;-2;1;0;0;0;63;0;13;0;0;6;2;1;4;4669;915;0;0;0
43;2022;56;9999;6;0;4;0;2;0;1;0;0;64;0;11;3;1;2;7;8;6;5745;564;0;0;0
43;2021;34;9999;22;6;7;2;4;0;2;0;0;59;1;56;31;13;26;9;5;14;19892;4015;172;0;0
44;2023;6;9999;4;0;2;2;-3;0;0;0;0;60;0;8;0;0;10;1;1;1;5806;0;345;0;0
45;2024;30;9999;11;2;4;4;5;0;0;0;0;57;0;14;128;63;7;2;3;2;8562;0;196;0;0
45;2023;25;9999;7;1;1;2;-1;0;0;0;0;55;0;5;69;31;8;1;0;0;5335;0;216;0;0
45;2020;57;9999;12;0;5;4;5;0;0;0;0;58;0;14;155;81;13;6;3;9;10635;81;1026;0;0
48;2023;26;9999;6;1;0;0;1;0;0;0;0;55;0;10;51;29;6;0;0;1;3229;0;56;0;0
48;2020;26;9999;5;1;3;0;-2;0;1;1;0;69;0;13;96;50;3;1;3;3;5315;641;162;0;0
52;2020;16;9999;11;1;3;4;0;0;0;0;0;62;0;9;104;63;7;0;4;2;8736;697;488;0;0
55;2024;49;9999;4;1;1;0;-2;0;0;0;0;54;0;2;9;3;1;0;3;0;3072;0;659;0;0
55;2023;49;9999;15;3;4;4;1;0;0;0;0;53;0;27;33;24;17;7;6;4;15257;0;1531;0;0
55;2022;39;9999;1;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;340;0;47;0;0
55;2021;39;9999;5;0;0;0;-4;0;0;0;0;54;0;5;13;6;4;3;2;0;5274;0;508;0;0
58;2024;15;9999;19;3;2;2;-1;0;0;0;0;52;2;15;24;14;13;2;3;4;8321;0;940;0;0
58;2023;15;9999;21;1;2;4;2;0;0;0;0;52;1;18;17;9;14;7;6;5;11122;7;1110;0;0
58;2022;1;9999;9;2;3;2;-1;0;0;0;0;56;0;11;14;8;12;1;3;3;6930;0;702;0;0
58;2021;1;9999;1;0;0;0;0;0;0;0;0;61;0;1;5;4;0;0;0;0;566;0;72;0;0
58;2020;28;9999;4;1;2;4;-2;0;0;0;0;57;0;11;6;3;16;2;2;1;5180;161;195;0;0
61;2024;41;9999;7;0;2;4;3;0;0;0;0;59;0;9;66;33;4;2;3;1;5238;366;268;0;0
61;2022;41;9999;5;0;0;2;0;0;0;0;0;56;0;4;17;8;5;2;0;1;2159;163;0;0;0
61;2021;41;9999;18;10;10;6;17;0;2;0;0;64;2;53;20;9;9;11;6;8;16779;1837;0;0;0
61;2020;41;9999;10;5;1;2;-2;0;0;0;0;57;2;18;0;0;10;6;2;5;7474;601;66;0;0
65;2021;8;9999;24;8;14;2;6;1;3;1;0;73;0;74;44;33;14;2;9;14;24688;3657;1030;0;0
70;2024;53;9999;19;0;2;6;-2;0;0;0;0;64;0;25;0;0;18;5;5;37;18774;3341;1082;0;0
70;2021;34;9999;17;0;9;10;-1;0;0;0;0;63;0;31;0;0;13;4;8;32;18463;0;898;0;0
72;2020;11;9999;5;3;3;0;-1;1;0;0;0;68;0;16;16;7;11;1;1;3;6006;499;300;0;0
73;2023;44;9999;12;1;2;7;0;0;0;0;0;51;0;18;0;0;15;2;3;23;14756;123;987;0;0
73;2023;6;9999;1;0;0;0;-1;0;0;0;0;50;0;0;0;0;2;0;0;0;976;0;108;0;0
74;2023;23;9999;15;3;5;2;11;0;0;0;0;67;0;26;0;0;13;2;12;26;17848;300;567;0;0
74;2021;23;9999;10;0;2;6;1;0;1;0;0;65;0;26;0;0;12;4;2;14;12641;540;786;0;0
76;2023;24;9999;1;0;0;0;-1;0;0;0;0;48;0;0;0;0;0;0;0;0;498;0;0;0;0
77;2023;60;9999;12;1;2;2;2;0;0;0;0;55;0;24;0;0;14;4;10;9;14405;85;1783;0;0
77;2022;60;9999;2;1;1;4;2;0;0;0;0;63;0;4;0;0;0;0;1;3;2173;76;231;0;0
81;2024;30;9999;7;0;0;2;-5;0;0;0;0;50;0;3;17;11;5;3;0;2;3533;0;92;0;0
81;2023;30;9999;12;0;1;0;1;0;0;0;0;53;0;6;7;2;8;2;3;2;5143;0;830;0;0
81;2022;30;9999;1;0;0;0;0;0;0;0;0;52;0;0;6;4;1;1;0;2;527;0;0;0;0
82;2024;30;9999;9;0;1;0;-3;0;0;0;0;53;0;9;56;32;1;1;1;2;4390;71;70;0;0
82;2023;30;9999;13;1;1;2;2;0;0;0;0;54;1;10;76;39;8;2;1;4;5729;0;113;0;0
82;2022;30;9999;2;0;1;0;1;0;0;0;0;54;0;1;0;0;1;0;0;4;1001;0;0;0;0
83;2023;17;9999;5;0;3;0;-1;0;0;0;0;63;0;12;0;0;7;2;4;3;4731;243;309;0;0
83;2021;42;9999;3;0;0;0;-2;0;0;0;0;70;0;6;0;0;5;1;2;4;3110;151;357;0;0
83;2020;42;9999;2;0;0;0;1;0;0;0;0;65;0;2;0;0;3;1;0;2;1783;48;172;0;0
84;2021;4;9999;7;0;2;2;-2;0;0;0;0;58;0;6;79;32;5;2;2;2;6399;333;0;0;0
84;2020;29;9999;5;0;1;0;-3;0;0;0;0;52;0;1;48;29;3;1;0;1;3733;163;0;0;0
85;2022;30;9999;8;0;2;14;2;0;0;0;0;58;0;8;0;0;8;7;2;19;7993;0;469;0;0
85;2021;19;9999;3;0;0;0;-1;0;0;0;0;59;0;4;0;0;2;2;0;4;3089;0;264;0;0
85;2020;19;9999;21;2;8;2;16;0;0;0;0;55;0;42;0;0;30;6;11;37;21746;32;1256;0;0
87;2024;36;9999;5;1;1;5;1;0;0;0;0;59;0;5;0;0;3;0;5;12;5245;215;497;1;0
87;2021;31;9999;5;0;2;0;-3;0;1;0;0;57;0;9;0;0;5;0;2;15;5821;191;518;0;0
87;2020;31;9999;7;1;2;2;1;0;0;0;0;59;0;12;0;0;6;0;4;10;7622;0;385;0;0
88;2022;19;9999;6;3;2;0;0;0;0;0;0;63;0;9;85;52;14;1;4;2;5806;384;0;0;0
88;2021;19;9999;12;1;6;2;2;0;0;0;0;62;1;21;179;99;25;0;3;3;12663;872;356;0;0
88;2020;19;9999;19;6;9;15;3;0;0;0;0;63;1;48;246;147;36;5;3;5;18461;530;145;1;0
90;2022;21;9999;5;2;0;2;1;0;0;0;0;73;0;19;6;2;16;2;1;2;5051;772;96;0;0
90;2021;21;9999;4;0;0;2;-3;0;0;0;0;67;0;16;2;1;6;2;2;4;4264;823;168;0;0
91;2024;0;9999;4;0;2;0;-2;0;0;0;0;57;0;4;2;0;1;0;1;4;2040;341;0;0;0
91;2022;3;9999;4;0;1;4;-5;0;0;0;0;58;0;6;0;0;2;2;0;2;3966;522;23;0;0
91;2021;3;9999;7;1;3;0;4;0;0;0;0;66;0;12;8;2;2;0;3;7;7264;659;188;0;0
92;2022;21;9999;5;2;3;0;5;0;1;0;0;72;0;23;0;0;2;0;2;7;6104;801;133;0;0
92;2021;21;9999;4;0;0;0;-4;0;0;0;0;69;0;13;0;0;4;3;3;14;4725;852;412;0;0
98;2024;10;9999;17;0;3;4;-1;0;0;0;0;57;0;22;172;96;15;2;7;2;13695;0;712;0;0
98;2023;6;9999;4;0;0;0;0;0;0;0;0;63;0;3;61;33;4;0;5;1;4616;0;453;0;0
100;2021;17;9999;20;1;4;2;-2;0;0;0;0;59;0;13;0;0;27;6;8;44;19505;0;877;0;0
102;2022;3;9999;4;0;0;0;-2;0;0;0;0;72;0;9;0;0;5;1;1;13;5171;0;432;0;0
102;2020;14;9999;7;0;0;0;-2;0;0;0;0;64;0;8;0;0;2;2;2;18;7969;118;136;0;0
104;2022;9;9999;5;1;0;0;-3;0;0;0;0;58;1;11;0;0;2;0;2;9;6169;14;62;0;0
104;2021;9;9999;13;4;2;2;1;0;0;0;0;63;2;38;0;0;10;3;6;44;16030;536;611;0;0
104;2020;9;9999;24;8;17;10;7;3;4;0;0;72;2;89;0;0;42;6;17;59;29957;3935;767;0;0
106;2024;27;9999;7;0;0;0;1;0;0;0;0;55;0;4;13;9;3;0;0;6;5325;0;718;0;0
106;2023;39;9999;5;0;0;0;-3;0;0;0;0;56;0;10;2;2;8;6;2;4;3787;0;201;0;0
106;2021;19;9999;12;2;2;0;-1;0;0;0;0;54;0;11;16;6;11;0;1;3;9482;0;264;0;0
106;2020;19;9999;13;0;2;2;1;0;0;0;0;53;0;4;74;34;9;1;2;4;6021;0;628;0;0
110;2022;9;9999;5;2;1;2;-1;0;1;0;0;62;0;9;82;47;5;2;2;2;5735;391;50;0;0
