PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
2;2023;48;1;7;0;4;0;3;0;1;0;0;58;0;17;25;12;4;4;3;3;4981;943;264;0;0
2;2022;51;1;2;0;1;0;1;0;0;0;0;62;0;6;5;4;1;0;0;1;1560;0;438;0;0
2;2021;22;0;4;1;2;0;-1;0;0;0;0;57;0;11;8;5;1;1;3;2;2680;627;359;0;0
2;2020;22;0;7;0;0;2;-3;0;0;0;0;57;0;20;55;20;2;0;4;2;4093;854;752;0;0
4;2024;30;0;4;0;0;2;-1;0;0;0;0;63;0;13;0;0;4;1;1;9;4314;0;223;0;0
4;2023;30;0;4;0;0;2;0;0;0;0;0;64;0;6;0;0;4;0;1;9;3877;216;271;0;0
4;2022;21;0;5;0;0;12;-4;0;0;0;0;57;0;9;0;0;8;0;2;6;5351;35;411;0;0
4;2021;21;0;5;0;0;0;-1;0;0;0;0;63;0;6;0;0;7;1;1;12;4988;0;779;0;0
5;2023;13;0;3;0;0;0;-3;0;0;0;0;55;0;4;36;19;5;1;0;0;2718;117;37;0;0
5;2022;13;0;4;1;2;0;1;0;0;0;0;58;1;4;34;19;3;1;2;2;2202;108;124;0;0
5;2021;13;0;6;0;0;0;-3;0;0;0;0;55;0;12;65;29;4;2;2;2;3966;314;152;0;0
5;2020;13;0;7;3;3;4;2;1;1;0;0;66;2;26;106;66;8;4;2;5;6456;1251;120;0;0
6;2024;16;0;4;0;1;0;-1;0;0;0;0;57;0;0;42;16;1;2;2;2;2544;491;27;0;0
6;2023;16;0;5;0;4;0;2;0;0;0;0;59;0;9;39;17;6;1;1;0;3250;89;22;0;0
6;2022;16;0;6;1;4;0;2;1;1;0;0;64;0;13;87;43;10;2;5;2;5977;1055;10;0;0
6;2021;16;0;7;1;7;2;7;0;3;0;0;68;0;19;107;50;3;1;3;4;6693;923;25;0;0
6;2020;16;0;7;3;2;4;-2;0;1;0;0;71;1;20;126;68;9;0;8;5;6664;1368;174;0;0
7;2023;14;0;5;1;2;2;0;0;0;0;0;56;0;9;2;1;5;0;2;3;3627;241;50;0;0
7;2022;14;0;7;2;1;0;5;0;1;0;0;61;0;14;11;5;2;2;2;3;5686;638;0;0;0
7;2021;14;0;7;2;5;0;0;0;2;0;0;62;0;17;12;7;5;2;2;5;6514;1238;0;0;0
7;2020;14;0;7;2;2;12;-2;0;1;0;0;56;1;13;13;6;5;2;2;2;6541;1023;0;0;0
10;2024;7;0;6;1;3;0;-1;0;0;0;1;56;0;9;6;4;6;1;2;2;4235;390;425;0;0
10;2023;7;0;7;0;4;4;-5;0;1;0;0;60;0;17;21;12;9;2;2;3;5259;1086;648;0;0
10;2022;7;0;7;1;0;0;-4;0;0;0;0;57;0;16;13;5;9;4;2;6;5712;1053;333;0;0
10;2021;7;0;2;0;0;0;-2;0;0;0;0;54;0;7;2;1;1;0;1;0;1085;165;106;0;0
10;2020;7;0;7;2;5;0;-3;0;1;0;0;62;1;20;15;9;10;5;3;5;6455;1322;210;0;0
14;2024;41;1;7;5;4;4;1;2;2;0;0;66;1;22;5;5;7;1;1;0;5971;2144;10;0;0
14;2023;17;0;2;3;1;0;0;2;0;0;0;60;0;4;0;0;1;1;0;0;1326;236;0;0;0
14;2021;37;1;4;0;1;6;-1;0;1;0;0;63;0;8;2;1;2;3;0;4;2656;1740;116;0;0
14;2020;37;1;7;2;3;4;-2;1;1;0;0;60;1;27;0;0;5;2;3;0;4973;993;39;0;0
16;2022;23;0;6;1;0;2;1;0;0;0;0;55;0;9;0;0;3;0;0;8;6493;33;663;0;0
16;2021;11;0;5;1;0;0;-2;0;0;0;0;58;0;7;0;0;7;1;1;10;4745;1;434;0;0
16;2020;1;0;6;0;2;0;0;0;0;0;0;51;0;8;0;0;5;2;3;14;6300;0;801;0;0
22;2024;21;0;4;0;0;2;-5;0;0;0;0;54;0;3;0;0;2;2;2;2;4210;16;28;0;0
22;2023;21;0;5;2;0;2;2;0;0;0;0;63;1;16;0;0;4;1;1;10;4863;233;364;0;0
22;2022;21;0;6;0;2;2;1;0;0;0;0;63;0;15;0;0;3;1;0;9;5816;333;501;0;0
22;2021;21;0;7;1;5;4;1;0;1;0;0;72;0;30;0;0;8;0;2;7;6899;1162;637;0;0
