PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
2;2023;48;1;70;14;32;38;5;6;7;0;0;60;0;150;445;226;37;21;30;10;55834;10884;1620;0;0
2;2022;51;1;69;19;19;20;-11;7;6;1;0;58;2;137;111;55;42;24;22;24;50171;11891;2765;0;0
2;2021;51;1;55;8;26;14;-6;0;4;1;1;60;2;126;184;96;40;23;24;19;47012;9560;5551;0;0
2;2021;22;0;5;0;1;0;0;0;0;0;0;53;0;10;3;3;2;0;1;0;2455;350;173;0;0
2;2020;22;0;77;11;11;6;-20;5;3;1;1;55;1;91;442;197;34;14;17;17;40403;5172;6445;0;0
4;2024;30;0;47;3;11;20;-13;1;0;0;0;60;0;57;0;0;73;15;15;122;43950;202;2983;0;0
4;2023;30;0;59;1;15;22;-5;0;4;0;1;64;1;95;0;0;101;15;17;99;59983;3344;4297;0;0
4;2022;21;0;51;7;7;18;14;0;0;0;0;63;0;74;0;0;109;14;17;73;56222;79;6724;0;0
4;2021;21;0;76;6;18;12;13;0;0;0;2;61;2;101;0;0;116;21;20;119;78055;221;4861;0;0
4;2020;21;0;71;5;20;14;-1;0;1;0;0;61;0;97;0;0;114;25;15;105;71959;153;4341;0;0
5;2023;61;1;7;2;6;2;-6;2;3;0;0;63;0;23;143;55;10;4;3;3;6896;1598;428;0;0
5;2023;19;0;2;0;1;0;0;0;0;0;0;52;0;0;4;1;0;0;0;0;933;0;0;0;0
5;2023;35;1;15;1;6;4;-3;0;2;0;0;67;0;36;257;112;22;5;6;3;13454;2555;1027;0;0
5;2023;13;0;18;1;4;20;5;0;0;0;0;54;1;14;41;16;8;4;3;5;10444;204;506;0;0
5;2022;13;0;65;9;12;10;-11;1;0;0;0;54;1;73;196;92;49;12;11;15;39301;1954;1048;0;0
5;2021;13;0;82;12;27;20;-12;5;5;0;0;59;1;142;965;474;78;20;14;25;62171;6461;475;0;0
5;2020;13;0;78;18;35;27;6;3;6;0;0;67;3;198;989;508;64;34;23;39;71345;15668;694;1;0
6;2024;16;0;60;4;14;4;8;1;2;0;0;55;2;37;238;112;23;4;18;26;28911;2350;1025;0;0
6;2023;16;0;82;12;28;24;3;2;2;0;1;59;4;101;887;387;62;7;30;38;62058;4303;763;0;0
6;2022;16;0;76;11;39;46;-22;3;13;0;0;64;2;147;1250;630;79;13;41;44;70162;11885;1746;0;0
6;2021;16;0;82;21;45;18;0;5;12;0;0;67;1;193;1329;641;54;17;52;62;77841;11892;1280;0;0
6;2020;16;0;82;27;48;14;1;13;18;0;0;68;4;219;1524;792;47;18;47;55;79719;16079;761;0;0
7;2023;14;0;62;5;12;20;-2;1;0;0;0;54;0;57;31;18;31;8;8;17;33901;2626;60;0;0
7;2022;14;0;72;8;35;29;-8;4;10;0;0;59;1;91;91;54;42;14;24;28;59988;8918;40;1;0
7;2021;14;0;82;16;30;14;-5;5;8;0;0;61;1;141;133;68;67;20;32;41;77414;16673;383;0;0
7;2020;14;0;82;20;44;30;1;9;18;0;0;61;4;125;144;90;68;17;31;34;79675;14310;146;0;0
