PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
27;2020;16;9999;10;0;4;2;7;0;0;0;1;63;0;14;0;0;12;4;5;7;11255;216;1108;0;0
67;2020;14;9999;7;0;0;2;-5;0;0;0;0;57;0;8;0;0;2;1;5;20;6985;0;265;0;0
181;2020;1;9999;4;0;0;0;-2;0;0;0;0;51;0;5;26;12;0;0;0;2;2032;0;67;0;0
192;2020;41;9999;10;0;6;4;0;0;1;0;0;56;0;8;93;50;2;0;2;1;7314;607;382;0;0
1472;2020;60;9999;2;0;2;0;-4;0;0;0;0;48;0;9;0;0;0;0;0;0;1536;69;130;0;0
3241;2020;31;9999;2;0;0;0;-2;0;0;0;0;53;0;5;0;0;1;0;0;2;1319;0;0;0;0
18;2020;10;9999;4;0;1;0;0;0;0;0;0;57;0;3;30;19;2;0;1;2;2480;0;265;0;0
21;2021;44;9999;6;1;1;0;-1;1;0;0;0;56;0;3;7;3;8;3;0;3;4122;572;320;0;0
60;2020;31;9999;7;3;3;2;-1;0;0;0;0;56;1;14;1;1;10;4;1;1;6256;418;0;0;0
124;2021;41;9999;15;1;4;0;11;0;0;0;0;60;0;29;233;119;11;8;5;8;14411;0;1734;0;0
164;2020;58;9999;6;0;0;0;0;0;0;0;0;54;0;5;14;6;2;0;3;3;3252;0;0;0;0
166;2020;11;9999;5;1;0;0;-1;0;0;0;0;56;0;13;39;19;1;0;0;1;3511;37;53;0;0
37;2020;33;9999;17;3;2;2;-1;0;0;0;0;57;1;24;106;66;17;1;5;3;10430;62;1029;0;0
89;2020;33;9999;24;2;4;14;-1;0;0;0;0;52;2;63;0;0;28;8;2;42;28667;43;2671;0;0
243;2020;19;9999;5;0;0;0;-1;0;0;0;0;51;0;3;27;10;5;0;0;0;2294;0;16;0;0
3033;2020;26;9999;1;0;0;12;0;0;0;0;0;62;0;0;0;0;5;1;0;2;790;0;18;0;0
3040;2020;58;9999;2;1;1;0;0;0;0;0;0;55;0;1;0;0;0;1;0;3;2046;0;81;0;0
3096;2020;57;9999;2;0;0;0;-2;0;0;0;0;48;0;2;2;1;0;1;1;0;693;82;38;0;0
3223;2020;60;9999;1;0;0;2;1;0;0;0;0;59;0;0;0;0;2;0;0;1;1025;0;103;0;0
11;2022;2;9999;6;1;2;0;-2;0;0;0;0;61;0;6;108;61;1;1;4;7;7088;0;516;0;0
11;2021;2;9999;4;1;2;2;4;0;0;0;0;59;1;10;68;36;2;1;2;4;4024;11;126;0;0
20;2022;46;9999;5;0;0;2;-5;0;0;0;0;54;0;2;0;0;12;1;2;9;5411;0;562;0;0
32;2022;55;9999;16;1;3;0;-2;0;0;0;0;60;0;33;0;0;20;1;10;8;18095;0;997;0;0
32;2021;21;9999;1;0;0;0;-1;0;0;0;0;50;0;1;0;0;0;1;1;2;1073;0;0;0;0
66;2021;23;9999;10;1;1;2;-1;0;0;0;0;58;0;7;0;0;7;4;3;18;9550;0;515;0;0
94;2021;8;9999;4;0;0;0;-1;0;0;0;0;49;0;2;2;1;3;2;0;1;1895;0;0;0;0
99;2022;21;9999;2;0;0;0;-1;0;0;0;0;53;0;3;0;0;2;0;1;0;923;0;0;0;0
99;2021;21;9999;1;0;0;0;0;0;0;0;0;50;0;0;2;2;0;0;0;0;567;0;51;0;0
108;2020;13;9999;4;0;0;0;-1;0;0;0;0;54;0;2;12;4;10;2;0;0;2196;0;0;0;0
132;2020;29;9999;7;1;1;2;-3;0;0;0;0;56;0;16;11;5;8;2;0;9;7233;666;192;0;0
133;2021;7;9999;4;1;1;0;1;0;0;0;0;55;0;5;8;4;8;1;1;0;4486;225;135;0;0
133;2020;7;9999;6;2;5;7;-1;0;1;0;0;57;0;11;6;5;8;4;1;3;6701;368;0;1;0
148;2021;31;9999;5;0;3;9;-4;0;0;0;1;58;0;8;0;0;4;1;2;17;5652;0;366;1;0
148;2020;17;9999;5;0;0;2;2;0;0;0;0;57;0;3;0;0;4;1;1;9;5422;0;271;0;0
149;2022;41;9999;11;3;0;2;0;1;0;0;0;52;2;8;1;1;10;4;1;3;4384;479;60;0;0
149;2021;41;9999;16;7;1;0;2;0;0;0;0;56;3;21;5;3;11;2;6;2;12622;0;215;0;0
156;2021;3;9999;6;1;1;2;0;0;0;0;0;54;1;15;0;0;5;2;1;12;5935;0;475;0;0
180;2021;8;9999;24;3;2;4;-3;0;0;0;0;53;2;15;134;81;26;2;4;3;11047;0;1372;0;0
180;2020;26;9999;2;1;0;0;1;0;0;0;0;52;1;2;8;4;0;0;0;0;919;0;64;0;0
191;2022;10;9999;1;0;0;0;1;0;0;0;0;50;0;1;1;0;0;0;0;0;566;0;0;0;0
228;2021;48;9999;8;1;4;0;0;0;0;0;0;63;1;25;0;0;7;1;2;13;7889;0;650;0;0
228;2020;41;9999;4;1;0;4;-1;0;0;0;0;57;0;7;0;0;24;2;0;10;4177;0;251;0;0
685;2022;10;9999;1;0;0;0;-1;0;0;0;0;50;0;0;0;0;2;0;0;2;497;53;0;0;0
685;2020;11;9999;2;0;0;2;-1;0;0;0;0;54;0;2;1;0;2;0;1;0;845;43;106;0;0
3;2020;57;9999;10;3;2;4;1;1;0;0;0;54;0;19;12;8;15;3;0;4;7849;516;343;0;0
