PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
27;2020;16;0;6;0;1;0;6;0;0;0;0;61;0;6;0;0;7;1;1;5;6033;359;633;0;0
56;2020;4;0;5;1;1;0;2;0;0;0;0;53;1;4;19;13;1;3;0;4;2516;306;220;0;0
67;2020;14;0;4;0;0;0;-1;0;0;0;0;65;0;3;0;0;5;1;0;15;3582;0;504;0;0
97;2020;22;0;7;1;2;4;0;0;0;0;0;56;0;10;79;33;5;0;5;2;4283;47;944;0;0
113;2020;21;0;7;1;2;4;2;0;0;0;0;54;0;5;2;1;5;3;0;0;3893;294;107;0;0
181;2020;1;0;3;0;0;0;0;0;0;0;0;53;0;0;13;4;3;1;1;0;914;0;241;0;0
192;2020;41;1;7;0;5;4;-1;0;3;0;0;65;0;16;72;41;2;1;2;0;4452;1573;688;0;0
688;2020;19;0;3;1;0;5;-1;0;0;1;0;53;0;2;25;19;2;0;1;1;1286;0;510;1;1
1467;2020;20;0;3;0;0;0;0;0;0;0;0;58;0;3;3;2;1;2;0;0;2067;92;146;0;0
1471;2020;45;1;5;1;1;2;0;0;0;0;0;63;1;10;6;2;18;3;2;5;4394;663;455;0;0
1471;2020;29;0;4;0;0;2;0;0;0;0;0;53;0;1;15;7;4;2;0;0;1832;0;126;0;0
1472;2020;60;1;6;4;3;0;2;0;1;0;0;65;1;23;8;3;8;1;1;2;4704;1426;269;0;0
1472;2020;16;0;4;1;0;2;-1;0;0;0;0;54;0;4;10;3;2;1;2;0;1874;187;188;0;0
3186;2020;57;1;7;2;2;2;0;1;0;0;0;55;1;16;5;3;3;1;0;5;5665;320;14;0;0
3241;2020;31;1;7;1;0;2;-2;1;0;0;0;59;1;15;1;1;3;4;2;3;5033;745;25;0;0
3252;2020;56;1;7;0;1;14;3;0;0;0;0;58;0;7;5;3;9;1;2;10;4290;202;856;0;0
3299;2020;54;1;1;0;0;0;-1;0;0;0;0;50;0;1;2;1;0;0;0;0;846;0;0;0;0
18;2021;23;0;2;0;1;2;-2;0;1;0;0;55;0;4;38;23;3;4;0;0;1645;242;340;0;0
18;2020;10;0;7;0;1;0;-1;0;0;0;0;62;0;6;63;32;9;2;4;1;4640;64;748;0;0
21;2021;6;0;6;1;2;0;1;0;0;0;0;59;0;8;2;2;7;1;0;2;4383;824;413;0;0
21;2020;6;0;7;3;1;4;-7;1;1;0;0;58;1;16;15;7;13;3;0;0;5876;1169;925;0;0
26;2021;6;0;6;0;1;4;3;0;0;0;0;61;0;8;21;11;7;0;4;5;3230;379;367;0;0
26;2020;6;0;6;2;0;4;-4;2;0;0;0;58;0;13;87;47;2;4;2;4;5111;854;101;0;0
69;2020;5;0;1;0;0;0;2;0;0;0;0;68;0;1;0;0;1;0;0;1;1135;0;75;0;0
69;2020;10;0;4;0;1;2;0;0;0;0;0;56;0;5;0;0;4;1;1;11;3269;0;397;0;0
