PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
4;30;30;1;0;1;2;0;0;0;0;0;0;0;2;3;0;4;57;56;59;1;1499;0;0;115.4;4.8;0.0;31.2;19.2;24;20;54.5;4.5;15;13;53.6;7.3;0;0;0
14;41;41;7;5;2;4;6;1;1;0;0;0;0;4;4;3;3;67;74;62;20;7380;1359;3;105.3;3.9;1.5;37.6;28.8;132;92;58.9;9.1;104;76;57.8;7.3;0;7;6
33;38;28;6;0;1;1;4;0;0;0;0;0;0;4;3;2;3;55;46;61;7;5638;16;499;100.1;0.6;0.6;28.1;28.7;81;81;50.0;-6.4;63;58;52.1;-4.4;0;0;0
45;30;30;11;2;4;5;4;0;0;0;0;0;0;7;2;3;2;57;58;53;14;8562;0;196;103.6;3.8;1.7;41.6;30.7;166;132;55.7;2.0;131;102;56.2;2.0;0;128;63
55;49;49;4;1;1;-2;0;0;0;0;0;0;0;1;0;3;0;54;57;49;2;3072;0;659;97.1;3.5;5.9;23.4;32.8;38;54;41.3;-9.6;27;40;40.3;-9.9;0;9;3
58;15;15;19;3;2;-1;2;0;0;0;0;0;0;13;2;3;4;52;54;49;15;8321;0;940;98.5;2.6;3.0;31.2;30.7;136;127;51.7;-3.2;100;91;52.4;-2.9;2;24;14
61;41;41;7;0;2;3;4;0;0;0;0;0;0;4;2;3;1;59;59;58;9;5238;366;268;104.7;3.4;1.4;29.6;19.9;79;56;58.5;7.2;62;44;58.5;6.9;0;66;33
70;53;53;19;0;2;-2;6;0;0;0;0;0;0;18;5;5;37;64;52;75;25;18774;3341;1082;100.8;1.9;2.3;24.0;31.8;229;340;40.2;-1.2;176;247;41.6;0.9;0;0;0
81;30;30;7;0;0;-5;2;0;0;0;0;0;0;5;3;0;2;50;52;47;3;3533;0;92;86.5;0.0;5.1;33.6;37.7;49;64;43.4;-12.9;41;53;43.6;-13.1;0;17;11
82;30;30;9;0;1;-3;0;0;0;0;0;0;0;1;1;1;2;53;58;47;9;4390;71;70;95.5;3.3;5.7;38.5;44.3;72;92;43.9;-12.0;54;72;42.9;-13.9;0;56;32
