PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
4;30;30;4;0;0;-1;2;0;0;0;0;0;0;4;1;1;9;63;62;64;13;4314;0;223;94.5;3.3;4.2;43.4;31.7;91;70;56.5;-8.7;64;48;57.1;-6.7;0;0;0
6;16;16;4;0;1;-1;0;0;0;0;0;0;0;1;2;2;2;57;54;56;0;2544;491;27;104.6;2.8;4.2;12.7;24.1;27;42;39.1;-21.6;18;31;36.7;-24.2;0;42;16
10;7;7;6;1;3;-1;0;0;0;0;1;0;0;6;1;2;2;56;60;51;9;4235;390;425;97.5;2.6;4.3;27.2;35.7;63;75;45.7;-3.4;42;57;42.4;-6.5;0;6;4
14;41;41;7;5;4;1;4;2;2;0;0;0;0;7;1;1;0;66;74;61;22;5971;2144;10;98.8;5.4;4.2;40.4;28.9;108;78;58.1;10.3;87;64;57.6;9.8;1;5;5
22;21;21;4;0;0;-5;2;0;0;0;0;0;0;2;2;2;2;54;53;55;3;4210;16;28;89.8;0.0;4.3;26.5;41.9;51;80;38.9;-3.8;40;64;38.5;-5.0;0;0;0
25;16;16;7;2;6;4;0;0;2;0;1;0;0;13;2;3;14;71;76;62;17;8218;1291;314;102.9;4.8;3.5;33.3;30.2;158;125;55.8;2.3;116;97;54.5;-0.0;0;0;0
33;38;28;5;2;2;7;12;0;0;0;0;0;0;15;2;1;8;70;54;83;5;4639;16;1102;111.1;6.2;0.8;38.0;14.7;90;34;72.6;2.2;65;25;72.2;4.0;0;0;0
36;21;21;6;1;1;2;0;0;0;0;0;0;0;7;1;4;4;61;58;61;12;5375;914;91;105.5;2.0;0.7;25.5;28.1;84;78;51.9;5.8;61;55;52.6;7.6;0;75;30
38;9;9;6;1;1;-2;2;0;0;0;0;0;0;6;0;1;6;58;57;59;1;3704;427;0;100.6;1.9;3.9;20.4;43.7;40;78;33.9;-7.9;30;57;34.5;-9.2;0;54;31
39;22;22;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;56;62;50;7;816;0;0;88.6;4.4;4.4;83.8;26.5;27;9;75.0;17.6;24;8;75.0;21.3;0;0;0
