PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
4;30;30;47;3;11;-13;20;1;0;0;0;0;0;73;15;15;122;60;57;61;57;43950;202;2983;99.4;2.3;3.4;28.3;39.6;629;870;42.0;-11.6;474;655;42.0;-11.3;0;0;0
6;16;16;60;4;14;8;4;1;2;0;0;0;0;23;4;18;26;55;56;54;37;28911;2350;1025;104.1;3.7;2.6;31.9;34.5;460;496;48.1;-1.9;344;375;47.8;-2.5;2;238;112
10;7;7;76;17;27;-10;28;4;5;0;0;0;0;123;21;24;36;60;63;55;172;65662;11817;6027;97.9;2.7;3.1;34.2;30.5;1132;1049;51.9;1.5;838;747;52.9;2.3;0;195;100
14;41;41;75;21;45;4;56;3;16;0;0;0;0;55;30;31;52;66;71;64;214;66472;18622;259;100.5;3.2;2.9;31.8;30.1;1076;1020;51.3;4.2;807;736;52.3;5.1;5;71;31
22;21;21;37;3;6;-15;12;0;0;0;0;0;0;11;16;9;22;56;53;57;42;34041;163;2506;98.2;2.2;3.8;29.4;40.8;495;704;41.3;-8.0;378;515;42.3;-6.5;0;0;0
25;16;16;75;24;32;-1;19;11;10;1;0;0;0;87;35;25;233;73;71;72;287;83789;17071;5764;98.6;3.2;3.0;34.5;28.4;1483;1258;54.1;5.4;1108;939;54.1;4.8;4;0;0
33;38;28;55;5;10;20;45;0;0;1;0;4;0;59;8;21;71;56;52;60;76;48116;226;5604;101.5;3.3;1.9;34.9;23.7;872;586;59.8;3.4;632;434;59.3;3.0;1;2;2
36;21;21;76;17;21;-17;20;6;4;0;0;0;0;89;20;25;79;59;61;56;136;61266;8109;1616;99.0;2.9;3.7;31.0;35.9;945;1118;45.8;-4.7;693;839;45.2;-6.2;3;1056;460
38;9;9;80;9;15;-9;12;1;3;0;0;0;0;54;12;5;42;55;56;53;75;35161;4052;637;99.7;2.6;3.4;30.0;38.2;512;703;42.1;-4.9;395;501;44.1;-2.5;1;540;280
39;22;22;18;2;1;2;0;0;0;0;0;0;0;4;4;3;6;53;54;52;17;7528;117;70;103.4;2.9;1.9;32.0;34.4;114;125;47.7;-5.6;94;98;49.0;-3.3;0;37;20
41;45;45;43;4;12;-5;36;1;6;0;0;0;0;86;15;7;69;63;59;67;63;37523;7965;4462;98.9;2.6;2.9;28.5;28.3;547;582;48.4;1.6;411;424;49.2;2.8;0;0;0
44;6;6;78;6;33;17;32;0;0;0;3;0;0;147;27;27;14;57;57;55;129;85748;691;10351;102.8;3.5;2.9;31.9;35.1;1390;1525;47.7;2.9;1040;1154;47.4;2.2;0;0;0
