StaffId;TeamId;First Name;Last Name;Nick Name;Date Of Birth;Birthcity;Birthstate;Nationality_One;Nationality_Two;Nationality_Three;Retired
0;73;Ryan;Huska;;1975-7-2;Cranbrook;BC;Canada;;;0
1;4;Dan;Bylsma;Disco;1970-9-19;Grand Haven;MI;The United States;;;0
2;-1;Claude;Julien;;1960-4-23;Blind River;ON;Canada;;;1
3;15;Lindy;Ruff;;1960-2-16;Warburg;AB;Canada;;;0
4;0;Kirk;Muller;;1966-2-8;Kingston;ON;Canada;;;0
5;2;Joe;Sacco;;1969-2-4;Medford;MA;The United States;;;0
6;17;Glen;Gulutzan;;1971-8-12;The Pas;MB;Canada;;;0
7;8;Mike;Yeo;;1974-7-31;North Bay;ON;Canada;;;0
8;-1;Barry;Trotz;;1962-7-15;Dauphin;MB;Canada;;;0
9;8;Michel;Therrien;;1963-11-4;Montreal;QC;Canada;;;0
10;-1;Jack;Capuano;;1966-7-7;Cranston;RI;The United States;;;0
11;-1;Paul;MacLean;;1958-3-9;Grostenquin;LOR;Canada;;;1
12;-1;Peter;Laviolette;;1964-12-7;Everett;MA;The United States;;;0
13;-1;Dave;Tippett;;1961-8-25;Moosomin;SK;Canada;;;1
14;6;Todd;McLellan;;1967-10-3;Melville;SK;Canada;;;0
15;8;Alain;Vigneault;;1961-5-14;Quebec City;QC;Canada;;;0
16;15;Claude;Noel;;1955-10-31;Kirkland Lake;ON;Canada;;;0
17;3;Stan;Bowman;;1973-6-28;Montreal;QC;Canada;The United States;;0
18;3;Rocky;Wirtz;;1952-10-5;Chicago;IL;The United States;;;0
19;24;Bob;Murray;;1954-11-26;Kingston;ON;Canada;;;0
20;24;Henry;Samueli;;1960-12-24;Buffalo;NY;The United States;;;0
21;-1;Jeremy;Jacobs;;1940-1-21;Buffalo;NY;The United States;;;1
22;-1;Terry;Pegula;;1951-3-27;Carbondale;PA;The United States;;;1
23;13;Murray;Edwards;;1959-12-10;Regina;SK;Canada;;;0
24;-1;Jim;Rutherford;;1949-2-17;Beeton;ON;Canada;The United States;;1
25;-1;Stan;Kroenke;;1947-7-29;Columbia;MO;The United States;;;1
26;7;Tom;Gaglardi;;1968-1-1;Vancouver;BC;Canada;The United States;;0
27;17;Ken;Holland;;1955-11-10;Vernon;BC;Canada;;;0
28;4;Christopher;Ilitch;;1965-6-1;Detroit;MI;The United States;;;0
29;-1;Ralph;Krueger;;1959-8-31;Virden;MB;Canada;Switzerland;;1
30;17;Daryl;Katz;;1961-5-31;Edmonton;AB;Canada;;;0
31;-1;Philip;Anschutz;;1939-12-28;Russell;KS;The United States;;;1
32;8;Chuck;Fletcher;;1967-4-29;Montreal;QC;Canada;;;0
33;0;Marc;Bergevin;;1965-8-11;Montreal;QC;Canada;;;0
34;0;Geoff;Molson;;1972-1-1;Montreal;QC;Canada;;;0
35;-1;Lou;Lamoriello;;1942-10-21;Johnston;RI;The United States;;;1
36;15;Josh;Harris;;1965-1-1;Chevy Chase;MD;The United States;;;0
37;14;Garth;Snow;;1969-7-28;Wrentham;MA;The United States;;;0
38;14;Scott;Malkin;;1959-1-1;New York;NY;The United States;;;0
39;-1;James;Dolan;;1955-5-11;New York;NY;The United States;;;1
40;22;Eugene;Melnyk;;1959-5-27;Toronto;ON;Canada;;;0
41;8;Paul;Holmgren;;1955-12-2;St. Paul;MN;The United States;;;0
42;13;Don;Maloney;;1958-9-5;Lindsay;ON;Canada;;;0
43;9;Mario;Lemieux;Super Mario;1965-10-5;Montreal;QC;Canada;;;0
44;-1;Doug;Wilson;;1957-7-5;Ottawa;ON;Canada;;;1
45;-1;Hasso;Platner;;1944-1-21;Berlin;BER;Germany;;;1
46;10;Doug;Armstrong;;1964-9-24;Sarnia;ON;Canada;;;0
47;-1;Tom;Stillman;;1952-1-1;Minneapolis;MN;The United States;;;1
48;4;Steve;Yzerman;;1965-5-9;Cranbrook;BC;Canada;;;0
