StaffId;Executive;Manager;Coach;Scout;Trainer;Off Pref;Phy Pref;Line Matching;Goalie Handling;Favor Veterans;Innovation;Loyalty;Coaching G;Coaching Defense;Coaching Forwards;Coaching Prospects;Def Skills;Off Skills;Phy Training;Player Management;Motivation;Discipline;Negotiating;Self-Preservation;Tactics;Ingame Tactics;Trainer Skill;Evaluate Abilities;Evaluate Potential
0;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;13;14;16;13;15;13;11;12;10;10;13;14;0;;12;13
1;0;0;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;14;15;13;16;16;15;13;15;11;10;14;15;13;0;;13;11
2;1;15;20;17;1;Standard;Physical;Aggressive;Conservative;Prefers Veterans;Very Conservative;Ruthless;13;18;16;14;18;15;16;18;13;14;15;14;17;15;0;;15;13
3;0;15;20;15;1;Defensive;Non-physical;Passive;Conservative;Prefers Veterans;Conservative;Ruthless;10;12;16;12;14;15;12;14;14;15;15;15;14;14;0;;14;12
4;0;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;16;15;15;16;14;15;15;13;15;14;14;13;0;;15;13
5;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;17;13;14;17;13;15;11;11;10;10;12;14;0;;15;13
6;0;0;20;15;1;Standard;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;15;12;11;15;19;16;17;12;13;10;14;15;15;0;;15;15
7;1;10;20;15;1;Defensive;Balanced;Balanced;Aggressive;Balanced;Balanced;Loyal;14;15;15;17;18;16;16;15;9;12;12;10;16;16;0;;12;15
8;1;12;20;17;1;Standard;Balanced;Aggressive;Conservative;Balanced;Conservative;Balanced;13;17;15;14;19;15;15;16;14;10;12;13;17;15;0;;15;11
9;0;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;14;15;14;17;16;15;15;13;10;14;15;14;0;;14;12
10;0;0;20;15;1;Offensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;13;17;11;16;14;15;15;12;12;10;13;12;13;0;;13;11
11;0;0;20;15;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;11;17;14;15;17;10;17;14;14;10;12;15;14;0;;14;12
12;1;10;20;15;1;Defensive;Physical;Aggressive;Balanced;Prefers Veterans;Conservative;Ruthless;11;16;16;15;15;17;15;17;13;14;12;12;17;19;0;;14;12
13;1;15;20;16;1;Very Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;15;15;13;17;12;16;14;14;15;12;14;14;15;0;;14;12
14;1;15;20;15;1;Standard;Physical;Passive;Aggressive;Balanced;Balanced;Balanced;13;13;16;16;14;16;16;14;12;14;11;12;14;15;0;;16;12
15;1;10;20;15;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;15;15;16;15;15;14;15;15;13;10;15;16;14;0;;14;12
16;0;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;15;12;10;10;10;14;10;12;15;10;12;10;0;;18;15
17;0;20;10;15;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;12;9;10;9;12;10;13;17;15;17;15;9;9;0;;19;16
18;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;11;10;10;12;10;10;10;0;;10;10
19;0;20;10;15;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;12;11;9;11;12;10;12;16;14;16;16;9;10;0;;16;13
20;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;14;9;6;14;10;10;7;10;10;9;10;10;10;0;;9;14
21;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
22;20;0;0;0;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
23;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
24;0;20;10;17;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;11;8;11;12;9;12;12;16;15;16;16;8;8;0;;17;15
25;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
26;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
27;0;20;10;15;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;14;10;10;8;11;10;12;12;16;16;17;19;9;9;0;;17;15
28;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
29;1;12;20;15;1;Offensive;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;13;13;13;14;13;14;14;14;11;12;13;13;14;14;7;;14;12
30;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
31;20;0;0;0;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
32;0;20;10;15;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;9;9;9;10;14;13;13;17;11;11;10;0;;15;13
33;0;20;15;15;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;13;15;11;12;14;11;13;12;11;15;13;16;14;14;0;;15;15
34;20;0;0;0;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
