TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
0;862;2513;357;1262;925;854;868;343;498;188;503;1307;272;480;121;551;;91;;;862;2513;357;343;1262;854;868;272;91;925;862;2513;357;343;1262;854;868;272;91;925;357;2513;343;1262;272;868;91;925;343;272;498;188;503;862;1262;121;2513;357;480;925;343;498;188;272;1262;121;343;498;188;272;1262;121;357;2513;1262;925;868;343;498;188;357;2513;1262;868;343;498;2513;868;91;1307;357;1163;2804;2513;357;
1;1431;410;918;1379;287;962;179;127;204;1209;128;495;1711;2950;2399;543;2952;2651;;;1431;410;918;179;287;962;2952;127;128;2399;1431;410;918;179;287;962;2952;127;128;2399;918;410;1431;287;962;179;128;2399;410;543;2950;1209;918;495;1379;287;179;1431;204;2399;543;2950;1209;410;1379;287;543;2950;1209;410;1379;287;918;410;1379;287;962;1431;204;1209;918;410;287;179;1431;1379;1431;918;179;410;287;268;2800;410;918;
2;209;1179;1170;1859;920;111;2262;763;1074;1405;392;2282;220;712;579;1376;736;214;;;209;2262;1170;111;1859;1376;2282;763;1074;1405;209;2262;1170;111;1859;1376;2282;763;1074;1405;1170;209;111;1859;2262;763;220;1405;209;1179;712;920;1170;392;1859;1405;763;111;1074;579;1179;712;920;209;1074;1405;1179;712;920;209;1859;1405;1170;209;1859;920;1179;111;1074;1405;1170;209;920;1179;111;1074;111;736;2282;220;1170;1355;734;209;111;
3;1081;1358;715;865;822;577;1295;130;994;5845;442;2806;1141;670;2554;575;1670;2251;;;1081;1358;715;1295;670;577;1670;130;2554;5845;1081;1358;715;1295;670;577;1670;130;2554;5845;1081;1358;715;670;130;1295;1670;2554;1141;442;865;822;1358;1081;994;5845;1295;715;670;2554;1141;865;822;442;994;5845;1141;865;822;442;994;5845;1081;1358;865;822;1295;715;994;5845;1081;1358;865;1295;715;994;1358;1081;577;715;130;711;1731;1358;1081;
4;1328;1031;2627;324;597;725;334;412;369;1310;750;1273;248;602;202;307;2478;1852;;;1328;1031;2627;334;1310;725;1273;412;248;602;1328;1031;2627;334;1310;725;1273;412;248;602;1328;1031;2627;1310;334;412;1273;602;307;412;324;597;1031;1328;369;202;334;2627;602;1310;412;324;597;307;369;202;412;324;597;307;369;202;1328;1031;324;597;412;2627;369;1310;1328;1031;324;412;2627;597;2627;1273;248;1328;725;1335;727;1031;412;
5;478;832;481;2341;1026;649;1027;378;1413;2498;187;2372;1662;1214;1162;703;2477;612;;;478;832;481;649;2341;187;1027;378;1413;1026;478;832;481;649;2341;187;1027;378;703;1413;481;478;649;2341;703;187;1026;1413;478;378;1214;1026;481;612;2341;2498;187;649;1413;1162;378;1214;1026;478;2341;2498;378;1214;1026;478;2341;2498;481;478;2341;1026;187;649;1413;2498;481;478;2341;187;649;1413;481;649;478;378;832;735;1361;478;481;
6;1305;1176;1954;682;1320;1394;733;1034;658;44;1377;1136;216;2184;1446;520;748;;;;1305;1176;1034;1954;1320;1394;733;216;1136;658;1305;1176;1034;1954;1320;1394;733;216;1136;658;1034;1176;1954;1320;1305;733;1136;658;1176;733;682;44;520;1377;658;1320;1954;748;2184;1446;733;682;44;1176;658;1320;733;682;44;1176;658;1320;1954;1176;682;1320;733;1034;658;44;1954;1176;682;733;1034;1320;1034;1176;;1305;733;483;482;1176;1954;
7;1157;2931;522;1028;375;10;157;2088;2942;689;1381;292;1293;1427;1211;1464;2383;722;;;1157;157;522;10;1427;1381;292;1293;2383;689;1157;157;522;10;1427;1381;292;1293;2383;689;10;1157;522;1427;1293;157;292;689;722;1157;2942;375;2931;10;1028;689;292;2088;1427;1211;722;2942;375;1157;1028;689;722;2942;375;1157;1028;689;522;1157;1028;375;10;2931;2942;689;522;1157;375;10;2931;689;1157;1293;522;2383;157;13;316;157;1157;
8;65;991;866;1033;1414;1357;1445;1006;1319;;614;1449;123;1207;613;;200;653;;;65;991;866;1357;1319;614;1445;1006;1414;1207;65;991;866;1357;1319;614;1445;1006;1414;1207;991;866;65;1319;1445;1357;1006;1414;866;123;1033;;991;65;1319;1414;1357;1445;1207;613;123;1033;;866;1319;1414;123;1033;;866;1319;1414;991;866;1033;1414;1357;65;1319;;65;866;1033;1357;991;1319;1445;866;;1449;991;998;2266;;866;
9;952;864;811;1270;1299;1334;983;695;1720;1829;1287;110;818;463;1233;2531;2783;620;;;952;864;811;1299;1270;1287;110;695;1334;1720;952;864;811;1299;1270;1287;110;695;1334;1720;952;864;811;1299;1287;110;1334;1270;983;1334;463;1829;864;818;1270;1299;952;620;1720;1233;983;463;1829;1334;1270;1299;983;463;1829;1334;1270;1299;952;864;1270;1299;983;811;1720;1829;952;864;1299;983;811;1270;864;811;110;1334;2531;1052;1332;864;952;
10;693;126;1151;201;625;2349;2374;1330;752;799;1174;98;1144;196;2780;258;1155;2955;;;2349;2374;1144;752;625;2955;1155;1151;126;201;2349;2374;1144;752;625;2955;1155;1151;126;201;2349;2374;1144;752;1155;2955;126;625;1151;126;201;625;98;693;196;799;1174;1330;752;2780;126;201;625;1151;196;799;126;201;625;1151;196;799;1151;126;201;625;98;2374;752;799;1151;126;625;98;2374;201;258;1151;2349;2374;1330;277;691;126;2374;
11;323;867;592;1403;1297;161;1392;1428;2938;1336;289;1322;274;5538;468;2793;153;1342;;;323;867;592;1428;1403;161;1392;274;1322;1297;161;867;592;1428;1403;323;1392;274;1322;1297;592;867;1428;1403;1322;1392;274;1297;867;289;1403;468;1428;592;2938;1297;1322;1392;5538;1336;289;1403;468;867;2938;1297;289;1403;468;867;2938;1297;592;867;1403;1297;1392;1428;2938;468;592;867;1403;1392;1428;1297;867;161;1392;1322;1428;783;2810;867;1342;
12;314;1043;1401;1154;665;473;1131;937;975;539;2491;2479;2787;657;1967;;1168;;;;314;1043;1401;1131;1154;2491;1168;937;;1967;314;1043;1401;1131;1154;2491;1168;937;;1967;314;1043;1131;1154;2491;1401;1168;1967;473;2479;975;665;1131;314;657;539;;1043;1154;1967;473;975;665;2479;657;539;473;975;665;2479;657;539;314;1043;1154;665;473;1131;975;539;314;1043;1154;473;1131;665;1043;473;1401;1131;2479;1149;1278;1043;314;
13;464;628;870;1050;322;1132;315;2096;512;2785;367;859;1393;370;2808;2851;2004;446;;;464;315;870;628;1050;1132;2096;1393;2004;2785;464;315;870;628;1050;1132;2004;2096;1393;2785;464;870;315;1050;2096;628;1393;2785;870;367;370;322;464;859;512;2808;628;315;1050;2785;367;370;322;870;512;2808;367;370;322;870;512;2808;464;870;1050;322;315;628;512;2785;464;870;1050;315;628;512;315;464;446;628;1132;112;714;870;2096;
14;973;570;1283;1803;1173;753;415;327;943;667;884;2483;608;1205;;129;1271;762;;;753;570;1283;973;667;884;1271;327;608;1803;973;570;1283;753;667;884;1271;327;608;1803;753;973;1283;667;327;884;608;1803;415;753;1803;1173;2483;762;943;667;1283;973;1205;;753;1803;1173;415;943;667;753;1803;1173;415;943;667;753;973;1803;1173;884;1283;943;667;753;973;1173;884;1283;667;415;753;884;973;2483;2057;2016;753;1283;
15;1212;662;694;1238;780;1300;1360;2371;1435;1390;2482;1303;404;1708;584;58;501;1294;;;1300;1360;694;1303;1238;404;1294;2371;662;780;1300;1360;694;1303;1238;404;1294;2371;662;780;1303;1360;694;1238;1300;2371;404;780;662;1212;1435;780;501;2482;1708;1390;1360;58;1238;584;662;1435;780;1212;1708;1390;662;1435;780;1212;1708;1390;1360;662;1238;780;694;1303;1435;1390;1360;662;780;694;1303;1238;694;1212;1360;1300;662;1021;1128;662;1360;
16;1444;697;678;2472;25;509;656;1228;1203;2181;1351;617;1165;1424;217;1430;718;1669;;;1444;697;1228;25;2181;1351;656;678;1430;1424;1444;697;1228;25;2181;1351;656;678;1430;1424;1228;697;656;25;1351;1444;1430;2181;509;678;1203;217;617;1165;2472;25;718;697;1424;2181;678;1203;217;509;2472;25;678;1203;217;509;2472;25;697;678;2472;25;656;1228;1203;217;697;678;25;656;1228;2472;697;1351;1669;656;1444;360;2687;697;678;
