League Id;Team Id;Conf Id;Div Id;Wins;Losses;Ties;OTL;Shootout Wins;Shootout Losses;Points;Goals For;Goals Against;PCT
0;0;0;0;41;35;0;5;3;1;88;253;258;.537
0;1;0;0;42;33;0;1;4;6;91;256;267;.555
0;2;0;0;47;32;0;0;3;3;97;262;215;.591
0;3;1;1;30;48;0;3;2;1;64;231;310;.390
0;4;0;0;42;32;0;5;2;3;92;294;269;.561
0;5;0;1;41;37;0;1;5;3;86;244;255;.524
0;6;1;0;39;34;0;4;4;5;87;276;293;.530
0;7;1;1;39;38;0;3;3;2;83;241;264;.506
0;8;0;1;29;50;0;1;2;2;61;230;314;.372
0;9;0;1;37;39;0;1;2;5;80;255;277;.488
0;10;1;1;54;15;0;5;3;8;121;277;177;.738
0;11;0;0;32;43;0;5;6;2;71;252;295;.433
0;12;1;0;44;30;0;3;5;5;96;271;260;.585
0;13;1;0;42;35;0;1;5;4;89;270;259;.543
0;14;0;1;36;39;0;1;2;6;79;242;257;.482
0;15;0;1;42;30;0;4;4;6;94;253;229;.573
0;16;0;1;42;36;0;1;3;3;88;252;243;.537
0;17;1;0;38;38;0;3;6;3;82;248;270;.500
0;18;0;1;41;28;0;7;5;6;95;278;255;.579
0;19;1;1;50;29;0;1;5;2;103;258;231;.628
0;20;1;0;37;39;0;3;1;3;80;275;285;.488
0;21;1;0;38;36;0;1;6;7;84;237;268;.512
0;22;0;0;40;34;0;4;7;4;88;282;275;.537
0;23;0;0;36;38;0;3;4;5;80;237;249;.488
0;24;1;0;50;27;0;1;5;4;105;322;251;.640
0;25;0;0;45;33;0;0;7;4;94;253;265;.573
0;26;1;1;30;46;0;4;3;2;66;236;304;.402
0;27;1;1;42;35;0;2;1;3;89;239;249;.543
0;28;0;1;53;20;0;3;8;6;115;287;223;.701
0;29;1;1;45;33;0;1;4;3;94;287;261;.573
0;30;1;0;47;28;0;0;4;7;101;267;237;.616
1;31;0;1;31;37;0;1;1;7;70;215;243;.461
1;32;1;0;26;38;0;6;2;6;64;209;281;.421
1;33;0;0;50;22;0;2;3;2;104;243;198;.684
1;34;0;1;40;28;0;3;4;5;88;240;230;.579
1;35;1;1;32;37;0;5;5;2;71;215;247;.467
1;36;0;0;46;20;0;3;3;7;102;245;181;.671
1;37;1;0;35;36;0;2;5;3;75;214;230;.493
1;38;0;1;48;23;0;1;4;4;101;250;189;.664
1;39;1;1;53;20;0;0;1;3;109;311;191;.717
1;40;1;0;40;31;0;2;5;3;85;211;212;.559
1;41;1;0;40;29;0;5;4;2;87;223;229;.572
1;42;1;1;27;40;0;4;4;5;63;197;239;.414
1;43;1;1;33;34;0;4;5;5;75;217;246;.493
1;44;1;1;38;34;0;3;6;1;80;221;219;.526
1;45;1;0;34;35;0;4;4;3;75;212;247;.493
1;46;0;1;43;32;0;0;5;1;87;248;223;.572
1;47;0;0;35;31;0;6;3;4;80;211;229;.526
1;48;0;0;35;37;0;1;2;3;74;222;235;.487
1;49;1;0;46;25;0;2;7;3;97;240;200;.638
1;50;0;1;41;29;0;2;10;4;88;219;225;.579
1;51;0;1;34;39;0;0;3;3;71;209;253;.467
1;52;0;0;44;24;0;3;6;5;96;243;194;.632
1;53;0;0;41;28;0;1;3;6;89;246;188;.586
1;54;0;0;31;38;0;4;4;3;69;197;247;.454
1;55;1;1;36;35;0;2;4;3;77;183;214;.507
1;56;0;1;34;36;0;2;1;4;74;193;223;.487
1;57;1;1;44;29;0;0;3;3;91;229;202;.599
1;58;0;1;31;41;0;1;3;3;66;226;292;.434
1;59;1;0;39;31;0;1;3;5;84;253;229;.553
1;60;0;0;48;21;0;0;5;7;103;262;197;.678
1;61;1;1;23;41;0;2;7;10;58;180;251;.382
2;84;0;0;42;20;0;2;2;4;90;298;258;.662
2;85;0;0;21;42;0;2;3;3;47;224;328;.346
2;86;0;0;26;38;0;1;3;3;56;261;305;.412
2;87;0;0;39;23;0;3;1;3;84;297;215;.618
2;88;0;0;37;27;0;1;2;3;78;274;272;.574
2;89;0;1;36;26;0;3;4;3;78;256;243;.574
2;90;0;1;26;33;0;6;2;3;61;249;282;.449
2;91;0;1;53;12;0;1;3;2;109;338;184;.801
2;92;0;1;32;29;0;3;5;4;71;263;276;.522
2;93;0;1;52;13;0;2;1;1;107;311;198;.787
2;94;1;0;32;32;0;1;4;3;68;267;264;.500
2;95;1;0;41;24;0;2;2;1;85;283;252;.625
2;96;1;0;38;24;0;3;4;3;82;263;237;.603
2;97;1;0;43;20;0;2;4;3;91;288;237;.669
2;98;1;0;38;25;0;0;3;5;81;264;233;.596
2;99;1;1;20;40;0;6;0;2;48;225;311;.353
2;100;1;1;30;32;0;4;4;2;66;232;269;.485
2;101;1;1;21;46;0;0;2;1;43;206;327;.316
2;102;1;1;27;32;0;4;3;5;63;262;313;.463
2;103;1;1;26;36;0;6;2;0;58;251;308;.426
3;62;0;0;46;17;0;1;2;4;97;271;190;.713
3;63;0;0;48;19;0;0;1;1;97;292;194;.713
3;64;0;0;26;39;0;1;4;2;55;227;267;.404
3;65;0;0;31;33;0;3;4;1;66;224;250;.485
3;66;0;0;36;26;0;1;1;5;78;277;229;.574
3;67;0;1;31;35;0;0;1;2;64;213;245;.471
3;68;0;1;34;28;0;2;4;4;74;231;249;.544
3;69;0;1;39;27;0;1;5;1;80;224;211;.588
